year,pos,neu,neg
1950,0.75,0.25,0.0
1951,0.3333333333333333,0.5,0.16666666666666666
1952,0.5,0.0,0.5
1953,0.4,0.6,0.0
1954,0.25,0.75,0.0
1955,0.125,0.625,0.25
1956,0.0,0.0,0.0
1957,0.0,1.0,0.0
1958,0.2,0.8,0.0
1959,0.5,0.0,0.5
1960,0.2222222222222222,0.6666666666666666,0.1111111111111111
1961,0.2,0.8,0.0
1962,0.1,0.6,0.3
1963,1.0,0.0,0.0
1964,0.14285714285714285,0.8571428571428571,0.0
1965,0.2222222222222222,0.6666666666666666,0.1111111111111111
1966,0.125,0.6875,0.1875
1967,0.1,0.8,0.1
1968,0.2857142857142857,0.5714285714285714,0.14285714285714285
1969,0.3157894736842105,0.631578947368421,0.05263157894736842
1970,0.375,0.625,0.0
1971,0.23076923076923078,0.6153846153846154,0.15384615384615385
1972,0.14285714285714285,0.7857142857142857,0.07142857142857142
1973,0.25,0.75,0.0
1974,0.5,0.5,0.0
1975,0.2857142857142857,0.5714285714285714,0.14285714285714285
1976,0.5789473684210527,0.42105263157894735,0.0
1977,0.2857142857142857,0.7142857142857143,0.0
1978,0.21428571428571427,0.7142857142857143,0.07142857142857142
1979,0.25,0.7,0.05
1980,0.3333333333333333,0.6666666666666666,0.0
1981,0.35714285714285715,0.5,0.14285714285714285
1982,0.16666666666666666,0.5,0.3333333333333333
1983,0.17647058823529413,0.8235294117647058,0.0
1984,0.1875,0.75,0.0625
1985,0.35294117647058826,0.6470588235294118,0.0
1986,0.4,0.4,0.2
1987,0.21052631578947367,0.7368421052631579,0.05263157894736842
1988,0.16,0.72,0.12
1989,0.2857142857142857,0.5714285714285714,0.14285714285714285
1990,0.26666666666666666,0.6,0.13333333333333333
1991,0.3333333333333333,0.5238095238095238,0.14285714285714285
1992,0.23809523809523808,0.7142857142857143,0.047619047619047616
1993,0.2727272727272727,0.6060606060606061,0.12121212121212122
1994,0.16666666666666666,0.75,0.08333333333333333
1995,0.2962962962962963,0.6666666666666666,0.037037037037037035
1996,0.2127659574468085,0.723404255319149,0.06382978723404255
1997,0.34146341463414637,0.5853658536585366,0.07317073170731707
1998,0.3,0.525,0.175
1999,0.16666666666666666,0.7222222222222222,0.1111111111111111
2000,0.21052631578947367,0.7368421052631579,0.05263157894736842
2001,0.21666666666666667,0.6666666666666666,0.11666666666666667
2002,0.16666666666666666,0.7407407407407407,0.09259259259259259
2003,0.32051282051282054,0.6153846153846154,0.0641025641025641
2004,0.16216216216216217,0.7432432432432432,0.0945945945945946
2005,0.3176470588235294,0.6352941176470588,0.047058823529411764
2006,0.21621621621621623,0.6846846846846847,0.0990990990990991
2007,0.25,0.7065217391304348,0.043478260869565216
2008,0.27102803738317754,0.616822429906542,0.11214953271028037
2009,0.22905027932960895,0.6536312849162011,0.11731843575418995
2010,0.23383084577114427,0.7213930348258707,0.04477611940298507
2011,0.2601626016260163,0.6829268292682927,0.056910569105691054
2012,0.23214285714285715,0.65625,0.11160714285714286
2013,0.23923444976076555,0.6698564593301436,0.09090909090909091
2014,0.24188790560471976,0.6873156342182891,0.07079646017699115
2015,0.2084592145015106,0.6827794561933535,0.10876132930513595
2016,0.1893491124260355,0.665680473372781,0.14497041420118342
2017,0.23247232472324722,0.5977859778597786,0.16974169741697417
