year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.25,0.25,0.5
1952,0.36363636363636365,0.45454545454545453,0.18181818181818182
1953,0.0,0.6666666666666666,0.3333333333333333
1954,0.0,1.0,0.0
1955,0.0,0.0,1.0
1956,0.25,0.75,0.0
1957,0.0,0.0,0.0
1958,0.0,1.0,0.0
1959,0.5,0.5,0.0
1960,0.0,1.0,0.0
1961,0.0,1.0,0.0
1962,0.0,1.0,0.0
1963,0.3333333333333333,0.6666666666666666,0.0
1964,0.6666666666666666,0.3333333333333333,0.0
1965,0.0,0.0,0.0
1966,0.0,0.0,0.0
1967,0.625,0.375,0.0
1968,0.0,1.0,0.0
1969,0.125,0.875,0.0
1970,0.0,1.0,0.0
1971,0.2,0.2,0.6
1972,0.0,1.0,0.0
1973,1.0,0.0,0.0
1974,0.0,1.0,0.0
1975,0.0,1.0,0.0
1976,0.0,0.0,0.0
1977,0.0,0.5,0.5
1978,0.0,1.0,0.0
1979,0.23076923076923078,0.5384615384615384,0.23076923076923078
1980,0.6666666666666666,0.3333333333333333,0.0
1981,0.75,0.25,0.0
1982,0.0,1.0,0.0
1983,0.0,0.6666666666666666,0.3333333333333333
1984,0.0,1.0,0.0
1985,0.23076923076923078,0.6923076923076923,0.07692307692307693
1986,0.0,1.0,0.0
1987,0.0,0.0,0.0
1988,0.25,0.75,0.0
1989,0.0,0.6666666666666666,0.3333333333333333
1990,0.14285714285714285,0.5714285714285714,0.2857142857142857
1991,0.0,1.0,0.0
1992,0.0,0.0,0.0
1993,0.0,1.0,0.0
1994,0.08333333333333333,0.75,0.16666666666666666
1995,0.0,1.0,0.0
1996,0.5,0.5,0.0
1997,0.25,0.75,0.0
1998,0.22727272727272727,0.5909090909090909,0.18181818181818182
1999,0.0,1.0,0.0
2000,0.2857142857142857,0.42857142857142855,0.2857142857142857
2001,0.3333333333333333,0.5,0.16666666666666666
2002,0.21428571428571427,0.5714285714285714,0.21428571428571427
2003,0.35294117647058826,0.4117647058823529,0.23529411764705882
2004,0.3333333333333333,0.6666666666666666,0.0
2005,0.375,0.4375,0.1875
2006,0.09090909090909091,0.9090909090909091,0.0
2007,0.21153846153846154,0.5961538461538461,0.19230769230769232
2008,0.26666666666666666,0.6,0.13333333333333333
2009,0.375,0.5,0.125
2010,0.0,0.5,0.5
2011,0.3333333333333333,0.4444444444444444,0.2222222222222222
2012,0.14285714285714285,0.8571428571428571,0.0
2013,0.4,0.2,0.4
2014,0.2222222222222222,0.7777777777777778,0.0
2015,0.0,1.0,0.0
2016,0.0,0.8571428571428571,0.14285714285714285
2017,0.75,0.0,0.25
