year,pos,neu,neg
1950,0.2,0.8,0.0
1951,0.0,0.0,0.0
1952,0.5,0.5,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.5,0.5,0.0
1956,0.3333333333333333,0.3333333333333333,0.3333333333333333
1957,1.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,1.0,0.0
1960,1.0,0.0,0.0
1961,0.0,0.0,1.0
1962,0.0,0.0,0.0
1963,1.0,0.0,0.0
1964,0.09090909090909091,0.7272727272727273,0.18181818181818182
1965,0.0,1.0,0.0
1966,0.1111111111111111,0.6666666666666666,0.2222222222222222
1967,0.3333333333333333,0.3333333333333333,0.3333333333333333
1968,0.0,0.8333333333333334,0.16666666666666666
1969,0.3333333333333333,0.3333333333333333,0.3333333333333333
1970,0.0,0.8333333333333334,0.16666666666666666
1971,0.0,0.9,0.1
1972,0.25,0.75,0.0
1973,0.16666666666666666,0.6666666666666666,0.16666666666666666
1974,0.15384615384615385,0.5384615384615384,0.3076923076923077
1975,1.0,0.0,0.0
1976,0.0,1.0,0.0
1977,0.0,1.0,0.0
1978,0.0,0.9,0.1
1979,0.5,0.5,0.0
1980,0.0,0.5,0.5
1981,0.16666666666666666,0.5,0.3333333333333333
1982,0.3333333333333333,0.0,0.6666666666666666
1983,0.0,0.8,0.2
1984,0.08333333333333333,0.75,0.16666666666666666
1985,0.0,0.8333333333333334,0.16666666666666666
1986,0.2,0.8,0.0
1987,0.0,0.6666666666666666,0.3333333333333333
1988,0.0,0.9285714285714286,0.07142857142857142
1989,0.16666666666666666,0.8333333333333334,0.0
1990,0.0,1.0,0.0
1991,0.0,1.0,0.0
1992,0.0,0.9,0.1
1993,0.25,0.5,0.25
1994,0.0,0.7,0.3
1995,0.0,1.0,0.0
1996,0.14285714285714285,0.8571428571428571,0.0
1997,0.0,1.0,0.0
1998,0.09090909090909091,0.7272727272727273,0.18181818181818182
1999,0.09090909090909091,0.8181818181818182,0.09090909090909091
2000,0.0,0.8571428571428571,0.14285714285714285
2001,0.2857142857142857,0.2857142857142857,0.42857142857142855
2002,0.0,0.7692307692307693,0.23076923076923078
2003,0.1,0.9,0.0
2004,0.17647058823529413,0.7058823529411765,0.11764705882352941
2005,0.04,0.76,0.2
2006,0.1111111111111111,0.6944444444444444,0.19444444444444445
2007,0.08333333333333333,0.7083333333333334,0.20833333333333334
2008,0.2222222222222222,0.5555555555555556,0.2222222222222222
2009,0.19444444444444445,0.5833333333333334,0.2222222222222222
2010,0.1111111111111111,0.6666666666666666,0.2222222222222222
2011,0.14285714285714285,0.7551020408163265,0.10204081632653061
2012,0.07692307692307693,0.8205128205128205,0.10256410256410256
2013,0.034482758620689655,0.7931034482758621,0.1724137931034483
2014,0.02857142857142857,0.8857142857142857,0.08571428571428572
2015,0.07692307692307693,0.7307692307692307,0.19230769230769232
2016,0.2,0.52,0.28
2017,0.0,0.8888888888888888,0.1111111111111111
