year,pos,neu,neg
1950,1.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,1.0,0.0,0.0
1954,1.0,0.0,0.0
1955,1.0,0.0,0.0
1956,1.0,0.0,0.0
1957,0.0,0.0,0.0
1958,1.0,0.0,0.0
1959,0.0,0.0,1.0
1960,1.0,0.0,0.0
1961,1.0,0.0,0.0
1962,0.5,0.5,0.0
1963,0.0,0.0,0.0
1964,1.0,0.0,0.0
1965,0.8,0.0,0.2
1966,0.9473684210526315,0.05263157894736842,0.0
1967,0.875,0.0,0.125
1968,1.0,0.0,0.0
1969,1.0,0.0,0.0
1970,0.6666666666666666,0.3333333333333333,0.0
1971,1.0,0.0,0.0
1972,0.875,0.125,0.0
1973,1.0,0.0,0.0
1974,1.0,0.0,0.0
1975,1.0,0.0,0.0
1976,1.0,0.0,0.0
1977,1.0,0.0,0.0
1978,1.0,0.0,0.0
1979,1.0,0.0,0.0
1980,1.0,0.0,0.0
1981,0.6666666666666666,0.0,0.3333333333333333
1982,1.0,0.0,0.0
1983,0.0,1.0,0.0
1984,0.8461538461538461,0.07692307692307693,0.07692307692307693
1985,1.0,0.0,0.0
1986,0.8181818181818182,0.09090909090909091,0.09090909090909091
1987,1.0,0.0,0.0
1988,0.8888888888888888,0.1111111111111111,0.0
1989,0.5,0.0,0.5
1990,0.9333333333333333,0.0,0.06666666666666667
1991,0.7142857142857143,0.2857142857142857,0.0
1992,0.9090909090909091,0.09090909090909091,0.0
1993,0.7058823529411765,0.23529411764705882,0.058823529411764705
1994,0.5454545454545454,0.36363636363636365,0.09090909090909091
1995,0.8181818181818182,0.09090909090909091,0.09090909090909091
1996,0.7777777777777778,0.2222222222222222,0.0
1997,0.8461538461538461,0.15384615384615385,0.0
1998,0.8,0.0,0.2
1999,0.8461538461538461,0.07692307692307693,0.07692307692307693
2000,0.8888888888888888,0.1111111111111111,0.0
2001,0.625,0.25,0.125
2002,1.0,0.0,0.0
2003,0.6666666666666666,0.2777777777777778,0.05555555555555555
2004,0.8888888888888888,0.07407407407407407,0.037037037037037035
2005,0.717391304347826,0.2391304347826087,0.043478260869565216
2006,0.75,0.0625,0.1875
2007,1.0,0.0,0.0
2008,0.8235294117647058,0.17647058823529413,0.0
2009,0.7647058823529411,0.17647058823529413,0.058823529411764705
2010,0.8333333333333334,0.08333333333333333,0.08333333333333333
2011,0.8666666666666667,0.06666666666666667,0.06666666666666667
2012,0.8421052631578947,0.15789473684210525,0.0
2013,0.9,0.05,0.05
2014,0.5294117647058824,0.11764705882352941,0.35294117647058826
2015,0.7916666666666666,0.125,0.08333333333333333
2016,0.7931034482758621,0.20689655172413793,0.0
2017,0.75,0.16666666666666666,0.08333333333333333
