year,pos,neu,neg
1950,0.16184971098265896,0.7630057803468208,0.07514450867052024
1951,0.23129251700680273,0.6870748299319728,0.08163265306122448
1952,0.12056737588652482,0.8226950354609929,0.05673758865248227
1953,0.19696969696969696,0.6868686868686869,0.11616161616161616
1954,0.12605042016806722,0.8235294117647058,0.05042016806722689
1955,0.19473684210526315,0.712280701754386,0.09298245614035087
1956,0.20165289256198346,0.7272727272727273,0.07107438016528926
1957,0.2012779552715655,0.7507987220447284,0.04792332268370607
1958,0.20292887029288703,0.7301255230125523,0.06694560669456066
1959,0.20618556701030927,0.718213058419244,0.07560137457044673
1960,0.1761194029850746,0.7253731343283583,0.09850746268656717
1961,0.22764227642276422,0.6951219512195121,0.07723577235772358
1962,0.20676691729323307,0.706766917293233,0.08646616541353383
1963,0.1751592356687898,0.732484076433121,0.09235668789808917
1964,0.16621983914209115,0.7319034852546917,0.10187667560321716
1965,0.168,0.7253333333333334,0.10666666666666667
1966,0.21666666666666667,0.7047619047619048,0.07857142857142857
1967,0.17142857142857143,0.7625,0.06607142857142857
1968,0.1723076923076923,0.7415384615384616,0.08615384615384615
1969,0.1916376306620209,0.7073170731707317,0.10104529616724739
1970,0.2085889570552147,0.7239263803680982,0.06748466257668712
1971,0.18885448916408668,0.739938080495356,0.07120743034055728
1972,0.19533527696793002,0.717201166180758,0.08746355685131195
1973,0.18681318681318682,0.7509157509157509,0.06227106227106227
1974,0.16666666666666666,0.746031746031746,0.0873015873015873
1975,0.1693548387096774,0.75,0.08064516129032258
1976,0.13802816901408452,0.7915492957746478,0.07042253521126761
1977,0.2,0.7162790697674418,0.08372093023255814
1978,0.15210355987055016,0.6375404530744336,0.21035598705501618
1979,0.2,0.72,0.08
1980,0.22439024390243903,0.6731707317073171,0.1024390243902439
1981,0.20512820512820512,0.6996336996336996,0.09523809523809523
1982,0.18454935622317598,0.7467811158798283,0.06866952789699571
1983,0.1590909090909091,0.7045454545454546,0.13636363636363635
1984,0.1503267973856209,0.7418300653594772,0.10784313725490197
1985,0.19601328903654486,0.6843853820598007,0.11960132890365449
1986,0.16115702479338842,0.71900826446281,0.11983471074380166
1987,0.15330188679245282,0.7075471698113207,0.1391509433962264
1988,0.15113871635610765,0.7577639751552795,0.09109730848861283
1989,0.18165784832451498,0.7231040564373897,0.09523809523809523
1990,0.1413793103448276,0.7620689655172413,0.09655172413793103
1991,0.16944444444444445,0.7388888888888889,0.09166666666666666
1992,0.12912912912912913,0.7957957957957958,0.07507507507507508
1993,0.20735785953177258,0.7290969899665551,0.06354515050167224
1994,0.17402597402597403,0.7324675324675325,0.09350649350649351
1995,0.1675531914893617,0.7393617021276596,0.09308510638297872
1996,0.19148936170212766,0.723404255319149,0.0851063829787234
1997,0.1652542372881356,0.7330508474576272,0.1016949152542373
1998,0.20123839009287925,0.7244582043343654,0.07430340557275542
1999,0.1757188498402556,0.7252396166134185,0.09904153354632587
2000,0.21428571428571427,0.6658163265306123,0.11989795918367346
2001,0.1796657381615599,0.7047353760445683,0.11559888579387187
2002,0.15601503759398497,0.7330827067669173,0.11090225563909774
2003,0.13142857142857142,0.7733333333333333,0.09523809523809523
2004,0.14145658263305322,0.7324929971988795,0.12605042016806722
2005,0.19431714023831348,0.6727772685609532,0.13290559120073328
2006,0.16084788029925187,0.6970074812967582,0.14214463840399003
2007,0.1495433789954338,0.7465753424657534,0.10388127853881278
2008,0.17175141242937852,0.7333333333333333,0.09491525423728814
2009,0.15314494074749316,0.7292616226071102,0.11759343664539654
2010,0.15828677839851024,0.7560521415270018,0.0856610800744879
2011,0.17767295597484276,0.7287735849056604,0.09355345911949685
2012,0.17288135593220338,0.7228813559322034,0.10423728813559321
2013,0.17413294797687862,0.7348265895953757,0.09104046242774566
2014,0.1967741935483871,0.7032258064516129,0.1
2015,0.20050125313283207,0.7076023391812866,0.09189640768588136
2016,0.17673048600883653,0.7304860088365243,0.09278350515463918
2017,0.16869300911854104,0.723404255319149,0.10790273556231003
