year,pos,neu,neg
1950,0.5,0.0,0.5
1951,0.0,0.0,0.0
1952,0.0,1.0,0.0
1953,0.0,0.0,0.0
1954,0.0,1.0,0.0
1955,0.6666666666666666,0.3333333333333333,0.0
1956,0.0,0.75,0.25
1957,0.0,1.0,0.0
1958,0.0,1.0,0.0
1959,1.0,0.0,0.0
1960,0.25,0.75,0.0
1961,0.1111111111111111,0.7777777777777778,0.1111111111111111
1962,0.25,0.4166666666666667,0.3333333333333333
1963,0.0,1.0,0.0
1964,0.2,0.6,0.2
1965,0.14285714285714285,0.8571428571428571,0.0
1966,0.0,1.0,0.0
1967,0.0,1.0,0.0
1968,0.0,0.8,0.2
1969,0.0,1.0,0.0
1970,0.3333333333333333,0.6666666666666666,0.0
1971,0.6666666666666666,0.3333333333333333,0.0
1972,0.0,0.0,0.0
1973,0.2,0.4,0.4
1974,0.0,0.0,1.0
1975,0.0,1.0,0.0
1976,0.0,1.0,0.0
1977,0.125,0.75,0.125
1978,0.25,0.25,0.5
1979,0.3333333333333333,0.6666666666666666,0.0
1980,0.2,0.6,0.2
1981,0.0,1.0,0.0
1982,0.0,1.0,0.0
1983,0.0,1.0,0.0
1984,0.12195121951219512,0.8536585365853658,0.024390243902439025
1985,0.25,0.75,0.0
1986,0.1,0.75,0.15
1987,0.0,0.8888888888888888,0.1111111111111111
1988,0.3333333333333333,0.6666666666666666,0.0
1989,0.5,0.25,0.25
1990,0.0,1.0,0.0
1991,0.0,1.0,0.0
1992,0.125,0.875,0.0
1993,0.3333333333333333,0.6666666666666666,0.0
1994,0.05555555555555555,0.8333333333333334,0.1111111111111111
1995,0.07142857142857142,0.9285714285714286,0.0
1996,0.0,1.0,0.0
1997,0.2,0.6,0.2
1998,0.14285714285714285,0.6666666666666666,0.19047619047619047
1999,0.3333333333333333,0.6666666666666666,0.0
2000,0.29411764705882354,0.6470588235294118,0.058823529411764705
2001,0.3333333333333333,0.3333333333333333,0.3333333333333333
2002,0.0,1.0,0.0
2003,0.0,1.0,0.0
2004,0.2222222222222222,0.5555555555555556,0.2222222222222222
2005,0.0,0.7857142857142857,0.21428571428571427
2006,0.14814814814814814,0.6666666666666666,0.18518518518518517
2007,0.16666666666666666,0.5,0.3333333333333333
2008,0.1111111111111111,0.7222222222222222,0.16666666666666666
2009,0.05555555555555555,0.8888888888888888,0.05555555555555555
2010,0.08333333333333333,0.7708333333333334,0.14583333333333334
2011,0.17857142857142858,0.7142857142857143,0.10714285714285714
2012,0.3333333333333333,0.6111111111111112,0.05555555555555555
2013,0.16,0.72,0.12
2014,0.2,0.8,0.0
2015,0.14285714285714285,0.7142857142857143,0.14285714285714285
2016,0.22727272727272727,0.5909090909090909,0.18181818181818182
2017,0.6,0.4,0.0
