year,pos,neu,neg
1950,0.5,0.5,0.0
1951,0.3333333333333333,0.6666666666666666,0.0
1952,0.0,0.875,0.125
1953,0.0,1.0,0.0
1954,0.5,0.0,0.5
1955,0.0,1.0,0.0
1956,0.3,0.6,0.1
1957,0.0,1.0,0.0
1958,0.0,1.0,0.0
1959,0.1111111111111111,0.7777777777777778,0.1111111111111111
1960,0.125,0.875,0.0
1961,0.125,0.875,0.0
1962,0.25,0.5,0.25
1963,0.4,0.6,0.0
1964,0.0,1.0,0.0
1965,0.20930232558139536,0.7441860465116279,0.046511627906976744
1966,0.38095238095238093,0.47619047619047616,0.14285714285714285
1967,0.0,1.0,0.0
1968,0.08333333333333333,0.8333333333333334,0.08333333333333333
1969,0.18181818181818182,0.8181818181818182,0.0
1970,0.2777777777777778,0.6666666666666666,0.05555555555555555
1971,0.0,0.9,0.1
1972,0.125,0.78125,0.09375
1973,0.2,0.5,0.3
1974,0.0,0.7142857142857143,0.2857142857142857
1975,0.1,0.8,0.1
1976,0.2857142857142857,0.6428571428571429,0.07142857142857142
1977,0.16666666666666666,0.6666666666666666,0.16666666666666666
1978,0.2727272727272727,0.7272727272727273,0.0
1979,0.0,0.9333333333333333,0.06666666666666667
1980,0.07692307692307693,0.8461538461538461,0.07692307692307693
1981,0.07142857142857142,0.7142857142857143,0.21428571428571427
1982,0.13333333333333333,0.8666666666666667,0.0
1983,0.16666666666666666,0.6666666666666666,0.16666666666666666
1984,0.17391304347826086,0.7391304347826086,0.08695652173913043
1985,0.19230769230769232,0.8076923076923077,0.0
1986,0.21052631578947367,0.7368421052631579,0.05263157894736842
1987,0.13114754098360656,0.7868852459016393,0.08196721311475409
1988,0.2608695652173913,0.6521739130434783,0.08695652173913043
1989,0.10344827586206896,0.7931034482758621,0.10344827586206896
1990,0.10526315789473684,0.7368421052631579,0.15789473684210525
1991,0.07407407407407407,0.8888888888888888,0.037037037037037035
1992,0.13432835820895522,0.7761194029850746,0.08955223880597014
1993,0.09333333333333334,0.7333333333333333,0.17333333333333334
1994,0.11475409836065574,0.7540983606557377,0.13114754098360656
1995,0.13761467889908258,0.8073394495412844,0.05504587155963303
1996,0.16666666666666666,0.7631578947368421,0.07017543859649122
1997,0.11607142857142858,0.8035714285714286,0.08035714285714286
1998,0.13445378151260504,0.7563025210084033,0.1092436974789916
1999,0.14414414414414414,0.7837837837837838,0.07207207207207207
2000,0.2231404958677686,0.6694214876033058,0.10743801652892562
2001,0.11570247933884298,0.768595041322314,0.11570247933884298
2002,0.13559322033898305,0.7627118644067796,0.1016949152542373
2003,0.15668202764976957,0.7557603686635944,0.08755760368663594
2004,0.140893470790378,0.7250859106529209,0.13402061855670103
2005,0.11145510835913312,0.7801857585139319,0.10835913312693499
2006,0.104,0.8,0.096
2007,0.12921348314606743,0.7668539325842697,0.10393258426966293
2008,0.10454545454545454,0.7931818181818182,0.10227272727272728
2009,0.12210526315789473,0.7747368421052632,0.1031578947368421
2010,0.13210702341137123,0.7575250836120402,0.11036789297658862
2011,0.12716763005780346,0.7572254335260116,0.11560693641618497
2012,0.13210445468509985,0.7526881720430108,0.1152073732718894
2013,0.11327433628318584,0.7663716814159292,0.12035398230088495
2014,0.1297709923664122,0.7557251908396947,0.11450381679389313
2015,0.10823909531502424,0.7883683360258481,0.10339256865912763
2016,0.13578500707213578,0.7369165487977369,0.1272984441301273
2017,0.12912087912087913,0.760989010989011,0.10989010989010989
