year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.6666666666666666,0.3333333333333333,0.0
1952,0.5,0.5,0.0
1953,0.5,0.5,0.0
1954,0.2,0.4,0.4
1955,0.1111111111111111,0.7777777777777778,0.1111111111111111
1956,0.5,0.5,0.0
1957,0.0,0.75,0.25
1958,0.25,0.75,0.0
1959,0.5,0.5,0.0
1960,0.0,0.5,0.5
1961,0.0,0.8,0.2
1962,0.2857142857142857,0.5714285714285714,0.14285714285714285
1963,0.0,1.0,0.0
1964,0.0,0.8571428571428571,0.14285714285714285
1965,0.125,0.625,0.25
1966,0.375,0.5,0.125
1967,0.4,0.4,0.2
1968,0.2,0.8,0.0
1969,0.375,0.4375,0.1875
1970,0.0,1.0,0.0
1971,0.375,0.625,0.0
1972,0.2,0.8,0.0
1973,0.2,0.6,0.2
1974,0.4,0.6,0.0
1975,0.0,0.8,0.2
1976,0.125,0.6875,0.1875
1977,0.5,0.25,0.25
1978,0.3333333333333333,0.6666666666666666,0.0
1979,0.15384615384615385,0.6153846153846154,0.23076923076923078
1980,0.0,0.8571428571428571,0.14285714285714285
1981,0.23529411764705882,0.7058823529411765,0.058823529411764705
1982,0.06666666666666667,0.6666666666666666,0.26666666666666666
1983,0.16666666666666666,0.5,0.3333333333333333
1984,0.0,0.8333333333333334,0.16666666666666666
1985,0.3157894736842105,0.5789473684210527,0.10526315789473684
1986,0.0,0.75,0.25
1987,0.2727272727272727,0.7272727272727273,0.0
1988,0.14285714285714285,0.7142857142857143,0.14285714285714285
1989,0.0,1.0,0.0
1990,0.0,1.0,0.0
1991,0.3,0.5,0.2
1992,0.2222222222222222,0.6666666666666666,0.1111111111111111
1993,0.2,0.8,0.0
1994,0.0,0.65,0.35
1995,0.15384615384615385,0.7692307692307693,0.07692307692307693
1996,0.0,0.75,0.25
1997,0.3,0.5,0.2
1998,0.2222222222222222,0.7777777777777778,0.0
1999,0.25,0.6666666666666666,0.08333333333333333
2000,0.15384615384615385,0.7692307692307693,0.07692307692307693
2001,0.125,0.71875,0.15625
2002,0.11764705882352941,0.8235294117647058,0.058823529411764705
2003,0.1724137931034483,0.5517241379310345,0.27586206896551724
2004,0.1111111111111111,0.6111111111111112,0.2777777777777778
2005,0.13157894736842105,0.8157894736842105,0.05263157894736842
2006,0.36363636363636365,0.45454545454545453,0.18181818181818182
2007,0.25,0.5714285714285714,0.17857142857142858
2008,0.09090909090909091,0.8181818181818182,0.09090909090909091
2009,0.1935483870967742,0.6774193548387096,0.12903225806451613
2010,0.09615384615384616,0.7307692307692307,0.17307692307692307
2011,0.05405405405405406,0.7027027027027027,0.24324324324324326
2012,0.09523809523809523,0.5714285714285714,0.3333333333333333
2013,0.14545454545454545,0.6363636363636364,0.21818181818181817
2014,0.1956521739130435,0.6086956521739131,0.1956521739130435
2015,0.16,0.6,0.24
2016,0.14285714285714285,0.6428571428571429,0.21428571428571427
2017,0.125,0.75,0.125
