year,pos,neu,neg
1950,0.0,0.0,0.0
1951,1.0,0.0,0.0
1952,0.5,0.5,0.0
1953,0.0,1.0,0.0
1954,0.25,0.5,0.25
1955,0.0,0.0,0.0
1956,1.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,1.0,0.0
1959,0.2,0.8,0.0
1960,0.5,0.5,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,1.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,0.0,0.0
1967,0.4,0.6,0.0
1968,0.0,0.0,0.0
1969,0.5,0.5,0.0
1970,0.0,1.0,0.0
1971,0.0,1.0,0.0
1972,0.0,1.0,0.0
1973,0.0,0.0,0.0
1974,0.0,0.5,0.5
1975,0.5,0.5,0.0
1976,0.2,0.8,0.0
1977,1.0,0.0,0.0
1978,0.0,1.0,0.0
1979,0.0,1.0,0.0
1980,0.4,0.4,0.2
1981,0.0,0.0,1.0
1982,0.0,0.3333333333333333,0.6666666666666666
1983,0.3333333333333333,0.6666666666666666,0.0
1984,0.5,0.5,0.0
1985,0.0,1.0,0.0
1986,0.0,1.0,0.0
1987,0.0,1.0,0.0
1988,0.6666666666666666,0.3333333333333333,0.0
1989,0.25,0.5,0.25
1990,0.14285714285714285,0.7142857142857143,0.14285714285714285
1991,0.0,1.0,0.0
1992,0.5,0.5,0.0
1993,0.2,0.8,0.0
1994,0.16666666666666666,0.5,0.3333333333333333
1995,0.4,0.5,0.1
1996,0.1,0.8,0.1
1997,0.16666666666666666,0.6666666666666666,0.16666666666666666
1998,0.375,0.625,0.0
1999,0.4,0.6,0.0
2000,0.125,0.8125,0.0625
2001,0.07692307692307693,0.6923076923076923,0.23076923076923078
2002,0.3333333333333333,0.6666666666666666,0.0
2003,0.2,0.64,0.16
2004,0.3,0.6,0.1
2005,0.17647058823529413,0.7647058823529411,0.058823529411764705
2006,0.2727272727272727,0.7272727272727273,0.0
2007,0.05555555555555555,0.5555555555555556,0.3888888888888889
2008,0.4166666666666667,0.5833333333333334,0.0
2009,0.25,0.65,0.1
2010,0.14285714285714285,0.8214285714285714,0.03571428571428571
2011,0.21739130434782608,0.6521739130434783,0.13043478260869565
2012,0.13513513513513514,0.7567567567567568,0.10810810810810811
2013,0.12,0.8,0.08
2014,0.22580645161290322,0.7096774193548387,0.06451612903225806
2015,0.1111111111111111,0.8888888888888888,0.0
2016,0.10714285714285714,0.7857142857142857,0.10714285714285714
2017,0.3333333333333333,0.3333333333333333,0.3333333333333333
