year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.25,0.75,0.0
1952,0.16666666666666666,0.8333333333333334,0.0
1953,0.0,1.0,0.0
1954,0.5,0.5,0.0
1955,0.0,1.0,0.0
1956,0.0,0.0,0.0
1957,0.21428571428571427,0.6428571428571429,0.14285714285714285
1958,0.0,0.6666666666666666,0.3333333333333333
1959,0.0,0.0,0.0
1960,0.0,1.0,0.0
1961,0.08333333333333333,0.9166666666666666,0.0
1962,0.0,1.0,0.0
1963,0.25,0.75,0.0
1964,0.23076923076923078,0.7692307692307693,0.0
1965,0.10526315789473684,0.7368421052631579,0.15789473684210525
1966,0.0,1.0,0.0
1967,0.125,0.7916666666666666,0.08333333333333333
1968,0.0,1.0,0.0
1969,0.0,1.0,0.0
1970,0.16666666666666666,0.8333333333333334,0.0
1971,0.15384615384615385,0.7692307692307693,0.07692307692307693
1972,0.23809523809523808,0.7142857142857143,0.047619047619047616
1973,0.0,0.9230769230769231,0.07692307692307693
1974,0.1111111111111111,0.6666666666666666,0.2222222222222222
1975,0.2,0.8,0.0
1976,0.42857142857142855,0.5714285714285714,0.0
1977,0.18181818181818182,0.7272727272727273,0.09090909090909091
1978,0.13333333333333333,0.8,0.06666666666666667
1979,0.2777777777777778,0.5555555555555556,0.16666666666666666
1980,0.0,1.0,0.0
1981,0.0,0.7,0.3
1982,0.3,0.7,0.0
1983,0.15151515151515152,0.7878787878787878,0.06060606060606061
1984,0.14285714285714285,0.6428571428571429,0.21428571428571427
1985,0.25806451612903225,0.7096774193548387,0.03225806451612903
1986,0.0,1.0,0.0
1987,0.2,0.76,0.04
1988,0.0,0.8421052631578947,0.15789473684210525
1989,0.0,1.0,0.0
1990,0.20833333333333334,0.625,0.16666666666666666
1991,0.13559322033898305,0.8135593220338984,0.05084745762711865
1992,0.21428571428571427,0.7142857142857143,0.07142857142857142
1993,0.11538461538461539,0.8076923076923077,0.07692307692307693
1994,0.0,1.0,0.0
1995,0.05555555555555555,0.9444444444444444,0.0
1996,0.22857142857142856,0.7142857142857143,0.05714285714285714
1997,0.15625,0.71875,0.125
1998,0.21052631578947367,0.7368421052631579,0.05263157894736842
1999,0.1590909090909091,0.7272727272727273,0.11363636363636363
2000,0.14285714285714285,0.8571428571428571,0.0
2001,0.0967741935483871,0.8387096774193549,0.06451612903225806
2002,0.1346153846153846,0.75,0.11538461538461539
2003,0.07272727272727272,0.8,0.12727272727272726
2004,0.14545454545454545,0.7636363636363637,0.09090909090909091
2005,0.1388888888888889,0.8518518518518519,0.009259259259259259
2006,0.11940298507462686,0.8059701492537313,0.07462686567164178
2007,0.13333333333333333,0.7866666666666666,0.08
2008,0.06557377049180328,0.8524590163934426,0.08196721311475409
2009,0.13178294573643412,0.7906976744186046,0.07751937984496124
2010,0.11214953271028037,0.822429906542056,0.06542056074766354
2011,0.15483870967741936,0.7741935483870968,0.07096774193548387
2012,0.12790697674418605,0.8372093023255814,0.03488372093023256
2013,0.11594202898550725,0.782608695652174,0.10144927536231885
2014,0.18681318681318682,0.7252747252747253,0.08791208791208792
2015,0.14130434782608695,0.8097826086956522,0.04891304347826087
2016,0.14049586776859505,0.7768595041322314,0.08264462809917356
2017,0.1678832116788321,0.7591240875912408,0.072992700729927
