year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.09090909090909091,0.8181818181818182,0.09090909090909091
1952,0.0,0.0,0.0
1953,0.0,0.8333333333333334,0.16666666666666666
1954,0.0,1.0,0.0
1955,0.0,1.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,1.0
1958,0.0,0.0,0.0
1959,0.0,1.0,0.0
1960,0.0,1.0,0.0
1961,0.0,0.0,0.0
1962,0.2,0.8,0.0
1963,0.0,0.75,0.25
1964,0.5,0.5,0.0
1965,0.3333333333333333,0.6666666666666666,0.0
1966,0.25,0.75,0.0
1967,0.5,0.3333333333333333,0.16666666666666666
1968,0.2,0.7,0.1
1969,0.0,0.0,0.0
1970,1.0,0.0,0.0
1971,0.0,1.0,0.0
1972,0.5,0.5,0.0
1973,0.0,0.6666666666666666,0.3333333333333333
1974,0.0,1.0,0.0
1975,0.32142857142857145,0.5714285714285714,0.10714285714285714
1976,0.25,0.25,0.5
1977,0.0,0.0,0.0
1978,0.6,0.4,0.0
1979,0.0,0.0,0.0
1980,0.6666666666666666,0.3333333333333333,0.0
1981,0.0,1.0,0.0
1982,0.2222222222222222,0.7777777777777778,0.0
1983,0.5,0.5,0.0
1984,0.0,1.0,0.0
1985,0.14285714285714285,0.8571428571428571,0.0
1986,0.23529411764705882,0.5882352941176471,0.17647058823529413
1987,0.1111111111111111,0.6666666666666666,0.2222222222222222
1988,0.0,0.8,0.2
1989,0.1,0.7,0.2
1990,0.0,0.6666666666666666,0.3333333333333333
1991,0.0,1.0,0.0
1992,0.0,1.0,0.0
1993,0.0,1.0,0.0
1994,0.16666666666666666,0.5,0.3333333333333333
1995,0.2,0.6,0.2
1996,0.4,0.4,0.2
1997,0.0,1.0,0.0
1998,0.14285714285714285,0.5714285714285714,0.2857142857142857
1999,0.0,1.0,0.0
2000,0.09090909090909091,0.7272727272727273,0.18181818181818182
2001,0.36363636363636365,0.6363636363636364,0.0
2002,0.13333333333333333,0.8,0.06666666666666667
2003,0.0,1.0,0.0
2004,0.16666666666666666,0.8333333333333334,0.0
2005,0.08,0.8,0.12
2006,0.23529411764705882,0.6764705882352942,0.08823529411764706
2007,0.29411764705882354,0.7058823529411765,0.0
2008,0.1,0.7666666666666667,0.13333333333333333
2009,0.11904761904761904,0.7857142857142857,0.09523809523809523
2010,0.1875,0.8125,0.0
2011,0.25,0.6071428571428571,0.14285714285714285
2012,0.32,0.56,0.12
2013,0.09090909090909091,0.6818181818181818,0.22727272727272727
2014,0.07692307692307693,0.6923076923076923,0.23076923076923078
2015,0.16,0.76,0.08
2016,0.058823529411764705,0.9411764705882353,0.0
2017,0.16666666666666666,0.6666666666666666,0.16666666666666666
