year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,1.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,1.0,0.0
1957,0.0,0.0,1.0
1958,0.0,0.0,0.0
1959,0.0,1.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,1.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,0.0,0.0
1967,0.3333333333333333,0.3333333333333333,0.3333333333333333
1968,0.5,0.5,0.0
1969,0.0,1.0,0.0
1970,0.0,0.8,0.2
1971,0.0,0.0,0.0
1972,0.0,0.0,0.0
1973,0.0,0.0,0.0
1974,0.0,0.0,0.0
1975,0.08333333333333333,0.9166666666666666,0.0
1976,0.0,1.0,0.0
1977,0.0,1.0,0.0
1978,1.0,0.0,0.0
1979,0.6666666666666666,0.3333333333333333,0.0
1980,0.0,0.0,0.0
1981,0.5,0.5,0.0
1982,0.25,0.75,0.0
1983,1.0,0.0,0.0
1984,0.0,0.0,0.0
1985,0.0,1.0,0.0
1986,1.0,0.0,0.0
1987,0.0,0.0,0.0
1988,0.0,0.6666666666666666,0.3333333333333333
1989,0.0,1.0,0.0
1990,0.0,0.0,0.0
1991,0.0,1.0,0.0
1992,0.0,0.0,0.0
1993,0.0,0.0,0.0
1994,0.0,0.3333333333333333,0.6666666666666666
1995,0.0,1.0,0.0
1996,0.2,0.6,0.2
1997,0.0,1.0,0.0
1998,0.3333333333333333,0.6666666666666666,0.0
1999,0.3333333333333333,0.6666666666666666,0.0
2000,0.0,1.0,0.0
2001,0.0,1.0,0.0
2002,0.0,0.0,1.0
2003,0.25,0.75,0.0
2004,0.2857142857142857,0.7142857142857143,0.0
2005,0.0,0.9090909090909091,0.09090909090909091
2006,0.0,0.6,0.4
2007,0.2857142857142857,0.7142857142857143,0.0
2008,0.0,1.0,0.0
2009,0.2857142857142857,0.5714285714285714,0.14285714285714285
2010,0.25,0.625,0.125
2011,0.0,0.9166666666666666,0.08333333333333333
2012,0.125,0.625,0.25
2013,0.21428571428571427,0.7142857142857143,0.07142857142857142
2014,0.25,0.5833333333333334,0.16666666666666666
2015,0.5384615384615384,0.46153846153846156,0.0
2016,0.2727272727272727,0.6363636363636364,0.09090909090909091
2017,0.38461538461538464,0.6153846153846154,0.0
