year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,1.0,0.0
1952,0.0,1.0,0.0
1953,0.0,0.0,0.0
1954,0.0,1.0,0.0
1955,0.0,1.0,0.0
1956,0.0,0.0,0.0
1957,0.0,1.0,0.0
1958,0.0,1.0,0.0
1959,0.2857142857142857,0.7142857142857143,0.0
1960,0.0,0.8,0.2
1961,0.5,0.0,0.5
1962,0.0,1.0,0.0
1963,0.0,0.5,0.5
1964,0.16666666666666666,0.8333333333333334,0.0
1965,0.3333333333333333,0.4444444444444444,0.2222222222222222
1966,0.3333333333333333,0.6666666666666666,0.0
1967,0.42857142857142855,0.5714285714285714,0.0
1968,0.1,0.6,0.3
1969,0.23076923076923078,0.6153846153846154,0.15384615384615385
1970,0.2727272727272727,0.6363636363636364,0.09090909090909091
1971,0.0,1.0,0.0
1972,0.22727272727272727,0.7272727272727273,0.045454545454545456
1973,0.3333333333333333,0.6666666666666666,0.0
1974,0.25,0.75,0.0
1975,0.2222222222222222,0.6666666666666666,0.1111111111111111
1976,0.25,0.5,0.25
1977,0.0,0.5,0.5
1978,0.1,0.7,0.2
1979,0.4,0.6,0.0
1980,0.0,0.8,0.2
1981,0.3,0.7,0.0
1982,0.07692307692307693,0.6923076923076923,0.23076923076923078
1983,0.125,0.625,0.25
1984,0.15384615384615385,0.6153846153846154,0.23076923076923078
1985,0.13333333333333333,0.8666666666666667,0.0
1986,0.21428571428571427,0.5714285714285714,0.21428571428571427
1987,0.3076923076923077,0.46153846153846156,0.23076923076923078
1988,0.0,0.5,0.5
1989,0.38461538461538464,0.3076923076923077,0.3076923076923077
1990,0.17647058823529413,0.7058823529411765,0.11764705882352941
1991,0.23529411764705882,0.5882352941176471,0.17647058823529413
1992,0.13333333333333333,0.7333333333333333,0.13333333333333333
1993,0.1,0.8,0.1
1994,0.1,0.9,0.0
1995,0.3333333333333333,0.3333333333333333,0.3333333333333333
1996,0.1875,0.6875,0.125
1997,0.0625,0.6875,0.25
1998,0.4,0.5333333333333333,0.06666666666666667
1999,0.08695652173913043,0.6956521739130435,0.21739130434782608
2000,0.26666666666666666,0.6,0.13333333333333333
2001,0.15384615384615385,0.6923076923076923,0.15384615384615385
2002,0.12903225806451613,0.6774193548387096,0.1935483870967742
2003,0.2571428571428571,0.6571428571428571,0.08571428571428572
2004,0.1282051282051282,0.6410256410256411,0.23076923076923078
2005,0.18,0.64,0.18
2006,0.08823529411764706,0.7058823529411765,0.20588235294117646
2007,0.15151515151515152,0.7575757575757576,0.09090909090909091
2008,0.1794871794871795,0.6923076923076923,0.1282051282051282
2009,0.2391304347826087,0.5652173913043478,0.1956521739130435
2010,0.19672131147540983,0.7213114754098361,0.08196721311475409
2011,0.09803921568627451,0.7843137254901961,0.11764705882352941
2012,0.1568627450980392,0.6666666666666666,0.17647058823529413
2013,0.0784313725490196,0.803921568627451,0.11764705882352941
2014,0.1527777777777778,0.6944444444444444,0.1527777777777778
2015,0.16666666666666666,0.6851851851851852,0.14814814814814814
2016,0.24561403508771928,0.631578947368421,0.12280701754385964
2017,0.08,0.6,0.32
