year,pos,neu,neg
1950,0.0,0.0,1.0
1951,0.0,1.0,0.0
1952,0.14285714285714285,0.7142857142857143,0.14285714285714285
1953,1.0,0.0,0.0
1954,0.0,1.0,0.0
1955,0.0,0.0,0.0
1956,0.5,0.5,0.0
1957,0.0,0.5,0.5
1958,0.0,0.0,0.0
1959,0.5,0.5,0.0
1960,0.0,1.0,0.0
1961,0.0,1.0,0.0
1962,0.75,0.25,0.0
1963,0.2,0.8,0.0
1964,0.2,0.8,0.0
1965,0.5,0.5,0.0
1966,0.3333333333333333,0.6666666666666666,0.0
1967,0.17647058823529413,0.8235294117647058,0.0
1968,0.5,0.5,0.0
1969,0.6666666666666666,0.3333333333333333,0.0
1970,0.3333333333333333,0.6666666666666666,0.0
1971,0.16666666666666666,0.6666666666666666,0.16666666666666666
1972,0.2,0.8,0.0
1973,0.75,0.25,0.0
1974,0.0,0.6666666666666666,0.3333333333333333
1975,0.14285714285714285,0.8571428571428571,0.0
1976,0.375,0.625,0.0
1977,0.3333333333333333,0.6666666666666666,0.0
1978,0.25,0.75,0.0
1979,0.2222222222222222,0.7777777777777778,0.0
1980,0.5,0.5,0.0
1981,0.3333333333333333,0.6666666666666666,0.0
1982,0.4,0.4,0.2
1983,0.0,0.8571428571428571,0.14285714285714285
1984,0.2,0.8,0.0
1985,0.125,0.875,0.0
1986,0.5,0.5,0.0
1987,0.14285714285714285,0.7142857142857143,0.14285714285714285
1988,1.0,0.0,0.0
1989,0.5,0.5,0.0
1990,0.25,0.5,0.25
1991,0.2222222222222222,0.7777777777777778,0.0
1992,0.4,0.6,0.0
1993,0.2857142857142857,0.5714285714285714,0.14285714285714285
1994,0.375,0.625,0.0
1995,0.5,0.3,0.2
1996,0.125,0.875,0.0
1997,0.0,0.6666666666666666,0.3333333333333333
1998,0.4,0.6,0.0
1999,0.1111111111111111,0.8888888888888888,0.0
2000,0.21052631578947367,0.7368421052631579,0.05263157894736842
2001,0.3076923076923077,0.6153846153846154,0.07692307692307693
2002,0.38461538461538464,0.6153846153846154,0.0
2003,0.1111111111111111,0.6111111111111112,0.2777777777777778
2004,0.4,0.55,0.05
2005,0.3157894736842105,0.631578947368421,0.05263157894736842
2006,0.46153846153846156,0.38461538461538464,0.15384615384615385
2007,0.2631578947368421,0.631578947368421,0.10526315789473684
2008,0.1111111111111111,0.6666666666666666,0.2222222222222222
2009,0.3793103448275862,0.5862068965517241,0.034482758620689655
2010,0.32142857142857145,0.6428571428571429,0.03571428571428571
2011,0.4666666666666667,0.5,0.03333333333333333
2012,0.3055555555555556,0.5833333333333334,0.1111111111111111
2013,0.09523809523809523,0.8095238095238095,0.09523809523809523
2014,0.26666666666666666,0.5333333333333333,0.2
2015,0.3488372093023256,0.5813953488372093,0.06976744186046512
2016,0.3076923076923077,0.6538461538461539,0.038461538461538464
2017,0.4,0.4,0.2
