year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,1.0,0.0
1952,0.5,0.5,0.0
1953,0.0,0.0,1.0
1954,0.0,1.0,0.0
1955,0.0,1.0,0.0
1956,0.0,0.0,0.0
1957,0.0,1.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,1.0,0.0
1961,0.0,0.0,0.0
1962,0.5,0.5,0.0
1963,0.0,1.0,0.0
1964,1.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,1.0,0.0
1967,0.0,1.0,0.0
1968,0.0,0.0,0.0
1969,0.5,0.5,0.0
1970,0.0,0.0,0.0
1971,0.0,1.0,0.0
1972,0.0,0.0,0.0
1973,0.0,0.0,0.0
1974,0.0,1.0,0.0
1975,0.0,1.0,0.0
1976,0.0,1.0,0.0
1977,0.0,0.0,0.0
1978,0.0,0.0,0.0
1979,0.0,1.0,0.0
1980,0.0,1.0,0.0
1981,0.0,0.0,0.0
1982,0.0,1.0,0.0
1983,0.0,0.5,0.5
1984,0.0,1.0,0.0
1985,0.0,1.0,0.0
1986,0.0,0.0,0.0
1987,0.0,1.0,0.0
1988,0.5,0.5,0.0
1989,0.0,1.0,0.0
1990,0.0,1.0,0.0
1991,0.0,1.0,0.0
1992,0.0,1.0,0.0
1993,0.0,1.0,0.0
1994,0.14285714285714285,0.8571428571428571,0.0
1995,0.2,0.8,0.0
1996,0.25,0.75,0.0
1997,0.0,0.0,0.0
1998,0.3333333333333333,0.3333333333333333,0.3333333333333333
1999,1.0,0.0,0.0
2000,0.0,1.0,0.0
2001,0.0,0.5,0.5
2002,0.25,0.75,0.0
2003,0.1,0.8,0.1
2004,0.0,1.0,0.0
2005,0.2,0.8,0.0
2006,0.2,0.8,0.0
2007,0.0,1.0,0.0
2008,0.125,0.75,0.125
2009,0.2857142857142857,0.7142857142857143,0.0
2010,0.15384615384615385,0.7692307692307693,0.07692307692307693
2011,0.17647058823529413,0.8235294117647058,0.0
2012,0.11764705882352941,0.8235294117647058,0.058823529411764705
2013,0.0,0.7777777777777778,0.2222222222222222
2014,0.21739130434782608,0.6521739130434783,0.13043478260869565
2015,0.13636363636363635,0.8636363636363636,0.0
2016,0.3333333333333333,0.6666666666666666,0.0
2017,0.0,1.0,0.0
