year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,1.0,0.0
1952,0.0,1.0,0.0
1953,0.0,1.0,0.0
1954,0.0,0.0,0.0
1955,0.0,1.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.125,0.75,0.125
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,1.0,0.0
1963,0.0,0.0,0.0
1964,0.0,1.0,0.0
1965,0.0,1.0,0.0
1966,0.0,1.0,0.0
1967,0.07142857142857142,0.8571428571428571,0.07142857142857142
1968,0.0,1.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1971,0.2,0.8,0.0
1972,0.0,1.0,0.0
1973,0.5,0.5,0.0
1974,0.0,0.0,0.0
1975,0.0,0.0,0.0
1976,0.4,0.6,0.0
1977,0.0,0.0,0.0
1978,0.0,1.0,0.0
1979,0.25,0.75,0.0
1980,0.0,1.0,0.0
1981,0.0,0.0,0.0
1982,0.0,1.0,0.0
1983,0.09090909090909091,0.8181818181818182,0.09090909090909091
1984,0.0,0.6666666666666666,0.3333333333333333
1985,0.0,0.0,0.0
1986,0.0,0.0,0.0
1987,0.0,0.75,0.25
1988,0.0,0.0,0.0
1989,0.0,1.0,0.0
1990,0.0,0.0,0.0
1991,0.16455696202531644,0.7215189873417721,0.11392405063291139
1992,0.0,0.7368421052631579,0.2631578947368421
1993,0.0,1.0,0.0
1994,0.0,0.0,0.0
1995,0.0,1.0,0.0
1996,0.0,0.0,0.0
1997,0.42857142857142855,0.42857142857142855,0.14285714285714285
1998,0.16666666666666666,0.6666666666666666,0.16666666666666666
1999,0.2,0.4,0.4
2000,0.6,0.4,0.0
2001,0.0,0.8333333333333334,0.16666666666666666
2002,0.0,0.0,1.0
2003,0.0,0.6666666666666666,0.3333333333333333
2004,0.16666666666666666,0.6666666666666666,0.16666666666666666
2005,0.5,0.5,0.0
2006,0.4,0.4666666666666667,0.13333333333333333
2007,0.13513513513513514,0.7567567567567568,0.10810810810810811
2008,0.0,1.0,0.0
2009,0.17647058823529413,0.6470588235294118,0.17647058823529413
2010,0.30434782608695654,0.6521739130434783,0.043478260869565216
2011,0.25,0.5,0.25
2012,0.13333333333333333,0.7333333333333333,0.13333333333333333
2013,0.0,0.7083333333333334,0.2916666666666667
2014,0.14285714285714285,0.7142857142857143,0.14285714285714285
2015,0.6666666666666666,0.3333333333333333,0.0
2016,0.1282051282051282,0.6923076923076923,0.1794871794871795
2017,0.0,0.0,0.0
