year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.16666666666666666,0.5,0.3333333333333333
1952,0.0,1.0,0.0
1953,0.0,0.6666666666666666,0.3333333333333333
1954,0.0,1.0,0.0
1955,0.0,1.0,0.0
1956,0.0,1.0,0.0
1957,0.125,0.875,0.0
1958,0.16666666666666666,0.8333333333333334,0.0
1959,0.14285714285714285,0.8571428571428571,0.0
1960,0.0,1.0,0.0
1961,0.125,0.875,0.0
1962,0.0,1.0,0.0
1963,0.0,1.0,0.0
1964,0.0,0.9,0.1
1965,0.0,0.3333333333333333,0.6666666666666666
1966,0.0,1.0,0.0
1967,0.2222222222222222,0.6666666666666666,0.1111111111111111
1968,0.08888888888888889,0.8888888888888888,0.022222222222222223
1969,0.0,1.0,0.0
1970,0.0,1.0,0.0
1971,0.3333333333333333,0.6666666666666666,0.0
1972,0.0,0.6666666666666666,0.3333333333333333
1973,0.0,1.0,0.0
1974,0.0,1.0,0.0
1975,0.25,0.625,0.125
1976,0.0,1.0,0.0
1977,0.3333333333333333,0.6666666666666666,0.0
1978,0.0,0.9090909090909091,0.09090909090909091
1979,0.2,0.8,0.0
1980,0.0,1.0,0.0
1981,0.0,1.0,0.0
1982,0.0,0.0,1.0
1983,0.13043478260869565,0.8043478260869565,0.06521739130434782
1984,0.0,0.0,0.0
1985,0.0,1.0,0.0
1986,0.0,1.0,0.0
1987,0.0,1.0,0.0
1988,0.0,1.0,0.0
1989,0.25,0.75,0.0
1990,0.5,0.25,0.25
1991,0.0,1.0,0.0
1992,0.0,1.0,0.0
1993,0.0,1.0,0.0
1994,0.14084507042253522,0.7887323943661971,0.07042253521126761
1995,0.08333333333333333,0.9166666666666666,0.0
1996,0.3333333333333333,0.6666666666666666,0.0
1997,0.09803921568627451,0.8235294117647058,0.0784313725490196
1998,0.125,0.875,0.0
1999,0.16666666666666666,0.75,0.08333333333333333
2000,0.0,1.0,0.0
2001,0.2,0.5,0.3
2002,0.5,0.3333333333333333,0.16666666666666666
2003,0.0,1.0,0.0
2004,0.16666666666666666,0.8333333333333334,0.0
2005,0.0,0.7777777777777778,0.2222222222222222
2006,0.0,1.0,0.0
2007,0.18181818181818182,0.7272727272727273,0.09090909090909091
2008,0.2777777777777778,0.6944444444444444,0.027777777777777776
2009,0.1111111111111111,0.8148148148148148,0.07407407407407407
2010,0.1,0.8333333333333334,0.06666666666666667
2011,0.0967741935483871,0.8064516129032258,0.0967741935483871
2012,0.23529411764705882,0.7058823529411765,0.058823529411764705
2013,0.030303030303030304,0.9090909090909091,0.06060606060606061
2014,0.14814814814814814,0.7777777777777778,0.07407407407407407
2015,0.045454545454545456,0.7272727272727273,0.22727272727272727
2016,0.0,0.9545454545454546,0.045454545454545456
2017,0.0,0.9444444444444444,0.05555555555555555
