year,pos,neu,neg
1950,0.0,1.0,0.0
1951,1.0,0.0,0.0
1952,0.18181818181818182,0.8181818181818182,0.0
1953,0.75,0.25,0.0
1954,0.6666666666666666,0.3333333333333333,0.0
1955,0.6666666666666666,0.3333333333333333,0.0
1956,0.5,0.5,0.0
1957,1.0,0.0,0.0
1958,0.6666666666666666,0.2222222222222222,0.1111111111111111
1959,0.6666666666666666,0.3333333333333333,0.0
1960,1.0,0.0,0.0
1961,0.75,0.0,0.25
1962,0.5,0.0,0.5
1963,0.5833333333333334,0.3333333333333333,0.08333333333333333
1964,0.6363636363636364,0.09090909090909091,0.2727272727272727
1965,0.3076923076923077,0.5384615384615384,0.15384615384615385
1966,0.5,0.5,0.0
1967,0.2,0.6,0.2
1968,0.4,0.2,0.4
1969,0.4,0.2,0.4
1970,0.0,0.7142857142857143,0.2857142857142857
1971,0.2857142857142857,0.42857142857142855,0.2857142857142857
1972,0.6,0.4,0.0
1973,0.3333333333333333,0.5,0.16666666666666666
1974,0.6666666666666666,0.16666666666666666,0.16666666666666666
1975,0.5833333333333334,0.3333333333333333,0.08333333333333333
1976,0.26666666666666666,0.6,0.13333333333333333
1977,0.0,1.0,0.0
1978,0.6363636363636364,0.2727272727272727,0.09090909090909091
1979,0.6470588235294118,0.35294117647058826,0.0
1980,0.375,0.375,0.25
1981,0.375,0.5,0.125
1982,0.5,0.375,0.125
1983,0.6428571428571429,0.35714285714285715,0.0
1984,0.8125,0.1875,0.0
1985,0.4375,0.1875,0.375
1986,0.7777777777777778,0.2222222222222222,0.0
1987,0.6923076923076923,0.3076923076923077,0.0
1988,0.36363636363636365,0.45454545454545453,0.18181818181818182
1989,0.45,0.5,0.05
1990,0.07692307692307693,0.7692307692307693,0.15384615384615385
1991,0.42857142857142855,0.5714285714285714,0.0
1992,0.3,0.7,0.0
1993,0.5882352941176471,0.35294117647058826,0.058823529411764705
1994,0.6428571428571429,0.14285714285714285,0.21428571428571427
1995,0.391304347826087,0.43478260869565216,0.17391304347826086
1996,0.391304347826087,0.391304347826087,0.21739130434782608
1997,0.48148148148148145,0.3333333333333333,0.18518518518518517
1998,0.6,0.4,0.0
1999,0.46,0.46,0.08
2000,0.41935483870967744,0.41935483870967744,0.16129032258064516
2001,0.34210526315789475,0.5263157894736842,0.13157894736842105
2002,0.288135593220339,0.559322033898305,0.15254237288135594
2003,0.40816326530612246,0.4897959183673469,0.10204081632653061
2004,0.45161290322580644,0.45161290322580644,0.0967741935483871
2005,0.5692307692307692,0.2923076923076923,0.13846153846153847
2006,0.348993288590604,0.5570469798657718,0.09395973154362416
2007,0.27380952380952384,0.6071428571428571,0.11904761904761904
2008,0.3287671232876712,0.5753424657534246,0.0958904109589041
2009,0.3082706766917293,0.5714285714285714,0.12030075187969924
2010,0.4791666666666667,0.34375,0.17708333333333334
2011,0.49122807017543857,0.45614035087719296,0.05263157894736842
2012,0.45255474452554745,0.41605839416058393,0.13138686131386862
2013,0.4424778761061947,0.4424778761061947,0.11504424778761062
2014,0.45263157894736844,0.3894736842105263,0.15789473684210525
2015,0.4148936170212766,0.425531914893617,0.1595744680851064
2016,0.453781512605042,0.40336134453781514,0.14285714285714285
2017,0.4868421052631579,0.42105263157894735,0.09210526315789473
