year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,1.0,0.0
1952,0.0,1.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.6666666666666666,0.3333333333333333
1955,0.1111111111111111,0.8222222222222222,0.06666666666666667
1956,0.0,1.0,0.0
1957,0.0,0.875,0.125
1958,0.13636363636363635,0.5909090909090909,0.2727272727272727
1959,0.0,0.875,0.125
1960,0.0,1.0,0.0
1961,1.0,0.0,0.0
1962,0.23529411764705882,0.7352941176470589,0.029411764705882353
1963,0.09090909090909091,0.7272727272727273,0.18181818181818182
1964,0.2,0.6,0.2
1965,0.1111111111111111,0.7777777777777778,0.1111111111111111
1966,0.09090909090909091,0.7272727272727273,0.18181818181818182
1967,0.0,1.0,0.0
1968,0.08333333333333333,0.8333333333333334,0.08333333333333333
1969,0.25,0.75,0.0
1970,0.0,1.0,0.0
1971,0.06666666666666667,0.8,0.13333333333333333
1972,0.11764705882352941,0.7058823529411765,0.17647058823529413
1973,0.03125,0.75,0.21875
1974,0.2222222222222222,0.5925925925925926,0.18518518518518517
1975,0.07407407407407407,0.8148148148148148,0.1111111111111111
1976,0.0,0.6,0.4
1977,0.07142857142857142,0.7857142857142857,0.14285714285714285
1978,0.18181818181818182,0.5454545454545454,0.2727272727272727
1979,0.0,1.0,0.0
1980,0.09090909090909091,0.9090909090909091,0.0
1981,0.0,1.0,0.0
1982,0.0,1.0,0.0
1983,0.2777777777777778,0.6111111111111112,0.1111111111111111
1984,0.16666666666666666,0.6666666666666666,0.16666666666666666
1985,0.0851063829787234,0.7446808510638298,0.1702127659574468
1986,0.3333333333333333,0.6111111111111112,0.05555555555555555
1987,0.15841584158415842,0.7524752475247525,0.0891089108910891
1988,0.1994219653179191,0.7543352601156069,0.046242774566473986
1989,0.19858156028368795,0.7446808510638298,0.05673758865248227
1990,0.2,0.76,0.04
1991,0.2571428571428571,0.6571428571428571,0.08571428571428572
1992,0.45454545454545453,0.5454545454545454,0.0
1993,0.0,1.0,0.0
1994,0.0,0.0,1.0
1995,0.0,1.0,0.0
1996,0.16,0.68,0.16
1997,0.12121212121212122,0.7575757575757576,0.12121212121212122
1998,0.1111111111111111,0.7777777777777778,0.1111111111111111
1999,0.25,0.6875,0.0625
2000,0.058823529411764705,0.8823529411764706,0.058823529411764705
2001,0.045454545454545456,0.8181818181818182,0.13636363636363635
2002,0.2777777777777778,0.6111111111111112,0.1111111111111111
2003,0.125,0.875,0.0
2004,0.16129032258064516,0.6451612903225806,0.1935483870967742
2005,0.18947368421052632,0.6842105263157895,0.12631578947368421
2006,0.1320754716981132,0.7169811320754716,0.1509433962264151
2007,0.09433962264150944,0.7547169811320755,0.1509433962264151
2008,0.17391304347826086,0.7101449275362319,0.11594202898550725
2009,0.08121827411167512,0.7715736040609137,0.14720812182741116
2010,0.16770186335403728,0.7329192546583851,0.09937888198757763
2011,0.18928571428571428,0.6892857142857143,0.12142857142857143
2012,0.20698924731182797,0.706989247311828,0.08602150537634409
2013,0.2261904761904762,0.6527777777777778,0.12103174603174603
2014,0.14314928425357873,0.6973415132924335,0.15950920245398773
2015,0.16608996539792387,0.7197231833910035,0.11418685121107267
2016,0.17253521126760563,0.7323943661971831,0.09507042253521127
2017,0.13253012048192772,0.7590361445783133,0.10843373493975904
