year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,1.0,0.0
1952,0.2,0.6,0.2
1953,0.0,0.0,0.0
1954,0.0,1.0,0.0
1955,0.125,0.875,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,1.0,0.0,0.0
1959,0.0,1.0,0.0
1960,0.2,0.8,0.0
1961,0.15384615384615385,0.6153846153846154,0.23076923076923078
1962,0.0,0.0,0.0
1963,0.5,0.0,0.5
1964,0.0,0.875,0.125
1965,0.0,1.0,0.0
1966,0.3333333333333333,0.6666666666666666,0.0
1967,0.0,1.0,0.0
1968,0.0,0.0,0.0
1969,0.42857142857142855,0.2857142857142857,0.2857142857142857
1970,0.5,0.5,0.0
1971,0.0,0.8333333333333334,0.16666666666666666
1972,0.0,1.0,0.0
1973,0.3333333333333333,0.3333333333333333,0.3333333333333333
1974,0.0,0.6666666666666666,0.3333333333333333
1975,0.0,0.8,0.2
1976,0.25,0.5,0.25
1977,0.1111111111111111,0.8888888888888888,0.0
1978,0.5,0.5,0.0
1979,0.07692307692307693,0.9230769230769231,0.0
1980,0.0,0.0,0.0
1981,0.0,1.0,0.0
1982,0.0,0.5,0.5
1983,0.0,1.0,0.0
1984,0.0,0.8,0.2
1985,1.0,0.0,0.0
1986,0.0,1.0,0.0
1987,0.0,1.0,0.0
1988,0.0,0.75,0.25
1989,0.125,0.5,0.375
1990,0.0,1.0,0.0
1991,0.5,0.5,0.0
1992,0.0,0.0,0.0
1993,0.23076923076923078,0.6153846153846154,0.15384615384615385
1994,0.0,1.0,0.0
1995,0.3,0.6,0.1
1996,0.2,0.8,0.0
1997,0.0,1.0,0.0
1998,0.0,0.5,0.5
1999,0.1111111111111111,0.7777777777777778,0.1111111111111111
2000,0.3,0.6,0.1
2001,0.25,0.4166666666666667,0.3333333333333333
2002,1.0,0.0,0.0
2003,0.0,1.0,0.0
2004,0.0,1.0,0.0
2005,0.17647058823529413,0.7058823529411765,0.11764705882352941
2006,0.14285714285714285,0.7142857142857143,0.14285714285714285
2007,0.3333333333333333,0.6666666666666666,0.0
2008,0.4,0.4,0.2
2009,0.07692307692307693,0.9230769230769231,0.0
2010,0.3076923076923077,0.46153846153846156,0.23076923076923078
2011,0.3333333333333333,0.5555555555555556,0.1111111111111111
2012,0.09090909090909091,0.8181818181818182,0.09090909090909091
2013,0.45454545454545453,0.5454545454545454,0.0
2014,0.23529411764705882,0.5294117647058824,0.23529411764705882
2015,0.0,0.8461538461538461,0.15384615384615385
2016,0.1,0.9,0.0
2017,0.0,1.0,0.0
