year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,0.0,0.0
1967,0.0,0.0,0.0
1968,0.0,0.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1971,0.0,0.0,0.0
1972,0.0,0.0,0.0
1973,0.0,0.0,0.0
1974,0.0,0.0,0.0
1975,0.0,0.0,0.0
1976,0.0,0.0,0.0
1977,0.0,0.0,0.0
1978,0.0,0.0,0.0
1979,0.0,0.0,0.0
1980,0.0,0.0,0.0
1981,0.0,0.0,0.0
1982,0.0,0.0,0.0
1983,0.0,0.0,0.0
1984,0.0,0.0,0.0
1985,0.0,0.0,0.0
1986,0.0,0.0,0.0
1987,0.0,0.0,0.0
1988,0.0,0.0,0.0
1989,0.0,0.0,0.0
1990,0.0,0.0,0.0
1991,0.0,0.0,0.0
1992,0.0,0.0,0.0
1993,0.0,0.0,0.0
1994,0.0,0.0,0.0
1995,0.0,0.0,0.0
1996,0.0,1.0,0.0
1997,0.0,0.0,0.0
1998,0.0,1.0,0.0
1999,1.0,0.0,0.0
2000,0.0,1.0,0.0
2001,0.0,1.0,0.0
2002,0.0,0.75,0.25
2003,0.0,0.5714285714285714,0.42857142857142855
2004,0.0,0.5,0.5
2005,0.09090909090909091,0.7272727272727273,0.18181818181818182
2006,0.125,0.5,0.375
2007,0.4,0.4,0.2
2008,0.3333333333333333,0.6666666666666666,0.0
2009,0.2,0.7,0.1
2010,0.3,0.4,0.3
2011,0.0,1.0,0.0
2012,0.13333333333333333,0.7333333333333333,0.13333333333333333
2013,0.08333333333333333,0.6666666666666666,0.25
2014,0.2857142857142857,0.6428571428571429,0.07142857142857142
2015,0.125,0.7083333333333334,0.16666666666666666
2016,0.0,0.8,0.2
2017,0.0,1.0,0.0
