year,pos,neu,neg
1950,0.0,0.0,0.0
1951,1.0,0.0,0.0
1952,0.0,1.0,0.0
1953,0.0,1.0,0.0
1954,0.0,1.0,0.0
1955,0.0,0.0,0.0
1956,0.0,1.0,0.0
1957,0.0,1.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,1.0,0.0
1961,0.0,0.6666666666666666,0.3333333333333333
1962,0.0,1.0,0.0
1963,0.0,1.0,0.0
1964,0.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,1.0,0.0
1967,0.0,1.0,0.0
1968,0.0,1.0,0.0
1969,0.0,0.6666666666666666,0.3333333333333333
1970,1.0,0.0,0.0
1971,0.0,0.0,0.0
1972,0.0,0.5,0.5
1973,0.0,0.8333333333333334,0.16666666666666666
1974,0.0,1.0,0.0
1975,0.0,1.0,0.0
1976,1.0,0.0,0.0
1977,0.0,0.0,0.0
1978,0.0,0.6666666666666666,0.3333333333333333
1979,0.0,1.0,0.0
1980,0.0,1.0,0.0
1981,0.0,0.0,1.0
1982,0.0,0.0,0.0
1983,0.0,0.0,0.0
1984,0.0,1.0,0.0
1985,0.0,1.0,0.0
1986,0.0,1.0,0.0
1987,0.5,0.0,0.5
1988,0.0,0.5,0.5
1989,0.0,1.0,0.0
1990,0.6666666666666666,0.3333333333333333,0.0
1991,0.0,0.0,0.0
1992,0.0,1.0,0.0
1993,0.0,0.5,0.5
1994,0.0,1.0,0.0
1995,0.0,1.0,0.0
1996,0.0,1.0,0.0
1997,0.0,0.25,0.75
1998,0.0,1.0,0.0
1999,0.0,1.0,0.0
2000,0.5,0.5,0.0
2001,0.3333333333333333,0.6666666666666666,0.0
2002,0.1111111111111111,0.6666666666666666,0.2222222222222222
2003,0.25,0.5,0.25
2004,0.5,0.5,0.0
2005,0.16666666666666666,0.6666666666666666,0.16666666666666666
2006,0.3,0.5,0.2
2007,0.09090909090909091,0.9090909090909091,0.0
2008,0.3076923076923077,0.5384615384615384,0.15384615384615385
2009,0.05,0.65,0.3
2010,0.30434782608695654,0.6086956521739131,0.08695652173913043
2011,0.2,0.75,0.05
2012,0.0625,0.875,0.0625
2013,0.22727272727272727,0.6363636363636364,0.13636363636363635
2014,0.375,0.4375,0.1875
2015,0.25,0.25,0.5
2016,0.07142857142857142,0.9285714285714286,0.0
2017,0.0,1.0,0.0
