year,pos,neu,neg
1950,0.2,0.8,0.0
1951,0.14285714285714285,0.8571428571428571,0.0
1952,0.4444444444444444,0.3333333333333333,0.2222222222222222
1953,0.0,0.6666666666666666,0.3333333333333333
1954,0.42857142857142855,0.42857142857142855,0.14285714285714285
1955,0.0,1.0,0.0
1956,1.0,0.0,0.0
1957,0.3333333333333333,0.6666666666666666,0.0
1958,0.5,0.3333333333333333,0.16666666666666666
1959,0.0,1.0,0.0
1960,0.5,0.5,0.0
1961,0.0,1.0,0.0
1962,0.11764705882352941,0.8823529411764706,0.0
1963,0.05263157894736842,0.7368421052631579,0.21052631578947367
1964,0.2,0.8,0.0
1965,0.3333333333333333,0.5555555555555556,0.1111111111111111
1966,0.07692307692307693,0.7692307692307693,0.15384615384615385
1967,0.21052631578947367,0.6842105263157895,0.10526315789473684
1968,0.07142857142857142,0.9285714285714286,0.0
1969,0.0,1.0,0.0
1970,0.07142857142857142,0.8571428571428571,0.07142857142857142
1971,0.2222222222222222,0.6666666666666666,0.1111111111111111
1972,0.0,0.6666666666666666,0.3333333333333333
1973,0.0,1.0,0.0
1974,0.23529411764705882,0.7058823529411765,0.058823529411764705
1975,0.5,0.3333333333333333,0.16666666666666666
1976,0.14285714285714285,0.8571428571428571,0.0
1977,0.34285714285714286,0.5714285714285714,0.08571428571428572
1978,0.2777777777777778,0.7222222222222222,0.0
1979,0.15151515151515152,0.8181818181818182,0.030303030303030304
1980,0.07692307692307693,0.9230769230769231,0.0
1981,0.14814814814814814,0.7777777777777778,0.07407407407407407
1982,0.0,1.0,0.0
1983,0.5238095238095238,0.42857142857142855,0.047619047619047616
1984,0.17647058823529413,0.7647058823529411,0.058823529411764705
1985,0.0625,0.8125,0.125
1986,0.3,0.6,0.1
1987,0.05555555555555555,0.8888888888888888,0.05555555555555555
1988,0.125,0.7916666666666666,0.08333333333333333
1989,0.2,0.8,0.0
1990,0.05555555555555555,0.9444444444444444,0.0
1991,0.24,0.64,0.12
1992,0.07692307692307693,0.8461538461538461,0.07692307692307693
1993,0.045454545454545456,0.9090909090909091,0.045454545454545456
1994,0.11320754716981132,0.8113207547169812,0.07547169811320754
1995,0.1568627450980392,0.6862745098039216,0.1568627450980392
1996,0.21739130434782608,0.6521739130434783,0.13043478260869565
1997,0.16363636363636364,0.7818181818181819,0.05454545454545454
1998,0.34210526315789475,0.631578947368421,0.02631578947368421
1999,0.27956989247311825,0.6559139784946236,0.06451612903225806
2000,0.19444444444444445,0.7129629629629629,0.09259259259259259
2001,0.2638888888888889,0.625,0.1111111111111111
2002,0.26605504587155965,0.6330275229357798,0.10091743119266056
2003,0.22115384615384615,0.7307692307692307,0.04807692307692308
2004,0.14689265536723164,0.7796610169491526,0.07344632768361582
2005,0.17777777777777778,0.7555555555555555,0.06666666666666667
2006,0.15702479338842976,0.8099173553719008,0.03305785123966942
2007,0.18705035971223022,0.7050359712230215,0.1079136690647482
2008,0.22377622377622378,0.7272727272727273,0.04895104895104895
2009,0.17346938775510204,0.75,0.07653061224489796
2010,0.17578125,0.72265625,0.1015625
2011,0.1864406779661017,0.7254237288135593,0.08813559322033898
2012,0.2161290322580645,0.7161290322580646,0.06774193548387097
2013,0.17134831460674158,0.6966292134831461,0.13202247191011235
2014,0.19344262295081968,0.6950819672131148,0.11147540983606558
2015,0.16666666666666666,0.7608695652173914,0.07246376811594203
2016,0.18996415770609318,0.7096774193548387,0.1003584229390681
2017,0.22699386503067484,0.6503067484662577,0.12269938650306748
