year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.4,0.6,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,1.0,0.0,0.0
1964,0.3333333333333333,0.6666666666666666,0.0
1965,0.6666666666666666,0.3333333333333333,0.0
1966,0.06521739130434782,0.8913043478260869,0.043478260869565216
1967,0.18518518518518517,0.7777777777777778,0.037037037037037035
1968,0.10144927536231885,0.8115942028985508,0.08695652173913043
1969,0.10256410256410256,0.8205128205128205,0.07692307692307693
1970,0.0,1.0,0.0
1971,0.5,0.5,0.0
1972,0.0,1.0,0.0
1973,0.02857142857142857,0.9428571428571428,0.02857142857142857
1974,0.0,1.0,0.0
1975,0.0,1.0,0.0
1976,0.42857142857142855,0.5714285714285714,0.0
1977,0.16666666666666666,0.8333333333333334,0.0
1978,0.0,0.8571428571428571,0.14285714285714285
1979,0.043478260869565216,0.7391304347826086,0.21739130434782608
1980,0.0,0.9090909090909091,0.09090909090909091
1981,0.0,1.0,0.0
1982,0.1111111111111111,0.7777777777777778,0.1111111111111111
1983,0.0,0.0,0.0
1984,0.2857142857142857,0.7142857142857143,0.0
1985,0.058823529411764705,0.8823529411764706,0.058823529411764705
1986,0.0,1.0,0.0
1987,0.14285714285714285,0.75,0.10714285714285714
1988,0.014925373134328358,0.9850746268656716,0.0
1989,0.14864864864864866,0.8513513513513513,0.0
1990,0.15789473684210525,0.8289473684210527,0.013157894736842105
1991,0.0410958904109589,0.9178082191780822,0.0410958904109589
1992,0.1,0.8181818181818182,0.08181818181818182
1993,0.09411764705882353,0.8,0.10588235294117647
1994,0.15714285714285714,0.7285714285714285,0.11428571428571428
1995,0.168,0.76,0.072
1996,0.13380281690140844,0.7816901408450704,0.08450704225352113
1997,0.11224489795918367,0.8367346938775511,0.05102040816326531
1998,0.078125,0.84375,0.078125
1999,0.022727272727272728,0.8636363636363636,0.11363636363636363
2000,0.047619047619047616,0.8809523809523809,0.07142857142857142
2001,0.08571428571428572,0.8285714285714286,0.08571428571428572
2002,0.08333333333333333,0.8055555555555556,0.1111111111111111
2003,0.125,0.8125,0.0625
2004,0.13333333333333333,0.7777777777777778,0.08888888888888889
2005,0.16326530612244897,0.7959183673469388,0.04081632653061224
2006,0.35714285714285715,0.5357142857142857,0.10714285714285714
2007,0.4117647058823529,0.5294117647058824,0.058823529411764705
2008,0.1388888888888889,0.8055555555555556,0.05555555555555555
2009,0.037037037037037035,0.8518518518518519,0.1111111111111111
2010,0.42857142857142855,0.42857142857142855,0.14285714285714285
2011,0.10144927536231885,0.782608695652174,0.11594202898550725
2012,0.1875,0.7916666666666666,0.020833333333333332
2013,0.06666666666666667,0.8666666666666667,0.06666666666666667
2014,0.10909090909090909,0.8363636363636363,0.05454545454545454
2015,0.12121212121212122,0.8181818181818182,0.06060606060606061
2016,0.16666666666666666,0.7833333333333333,0.05
2017,0.07142857142857142,0.8571428571428571,0.07142857142857142
