year,pos,neu,neg
1950,0.10344827586206896,0.8620689655172413,0.034482758620689655
1951,0.16666666666666666,0.75,0.08333333333333333
1952,0.2222222222222222,0.6666666666666666,0.1111111111111111
1953,1.0,0.0,0.0
1954,0.0,0.875,0.125
1955,0.14285714285714285,0.8571428571428571,0.0
1956,0.14285714285714285,0.8571428571428571,0.0
1957,0.18181818181818182,0.45454545454545453,0.36363636363636365
1958,0.0,1.0,0.0
1959,0.0,1.0,0.0
1960,0.16666666666666666,0.8333333333333334,0.0
1961,0.0,0.75,0.25
1962,0.3333333333333333,0.5833333333333334,0.08333333333333333
1963,0.23076923076923078,0.6923076923076923,0.07692307692307693
1964,0.2,0.7333333333333333,0.06666666666666667
1965,0.125,0.7083333333333334,0.16666666666666666
1966,0.0,0.75,0.25
1967,0.3333333333333333,0.5,0.16666666666666666
1968,0.21428571428571427,0.6428571428571429,0.14285714285714285
1969,0.08333333333333333,0.5833333333333334,0.3333333333333333
1970,0.125,0.625,0.25
1971,0.1,0.9,0.0
1972,0.3,0.6,0.1
1973,0.0,0.8,0.2
1974,0.16,0.76,0.08
1975,0.16666666666666666,0.7083333333333334,0.125
1976,0.4,0.4,0.2
1977,0.0,0.875,0.125
1978,0.2,0.7333333333333333,0.06666666666666667
1979,0.2857142857142857,0.6428571428571429,0.07142857142857142
1980,0.21739130434782608,0.6521739130434783,0.13043478260869565
1981,0.0,0.75,0.25
1982,0.25,0.75,0.0
1983,0.07692307692307693,0.8461538461538461,0.07692307692307693
1984,0.1282051282051282,0.6410256410256411,0.23076923076923078
1985,0.2,0.45,0.35
1986,0.125,0.75,0.125
1987,0.125,0.7,0.175
1988,0.10526315789473684,0.7894736842105263,0.10526315789473684
1989,0.16666666666666666,0.5,0.3333333333333333
1990,0.08333333333333333,0.625,0.2916666666666667
1991,0.15789473684210525,0.631578947368421,0.21052631578947367
1992,0.13636363636363635,0.6818181818181818,0.18181818181818182
1993,0.1724137931034483,0.7241379310344828,0.10344827586206896
1994,0.22580645161290322,0.6451612903225806,0.12903225806451613
1995,0.07692307692307693,0.9230769230769231,0.0
1996,0.16,0.64,0.2
1997,0.16666666666666666,0.7333333333333333,0.1
1998,0.25,0.6875,0.0625
1999,0.17142857142857143,0.7142857142857143,0.11428571428571428
2000,0.1111111111111111,0.6666666666666666,0.2222222222222222
2001,0.12,0.64,0.24
2002,0.13793103448275862,0.6896551724137931,0.1724137931034483
2003,0.10526315789473684,0.5964912280701754,0.2982456140350877
2004,0.15,0.6666666666666666,0.18333333333333332
2005,0.2777777777777778,0.6111111111111112,0.1111111111111111
2006,0.15625,0.765625,0.078125
2007,0.05263157894736842,0.8070175438596491,0.14035087719298245
2008,0.13043478260869565,0.7608695652173914,0.10869565217391304
2009,0.16666666666666666,0.7142857142857143,0.11904761904761904
2010,0.1111111111111111,0.7698412698412699,0.11904761904761904
2011,0.17272727272727273,0.6636363636363637,0.16363636363636364
2012,0.10377358490566038,0.7452830188679245,0.1509433962264151
2013,0.10638297872340426,0.7553191489361702,0.13829787234042554
2014,0.13333333333333333,0.6733333333333333,0.19333333333333333
2015,0.12264150943396226,0.8018867924528302,0.07547169811320754
2016,0.14388489208633093,0.7194244604316546,0.1366906474820144
2017,0.1,0.66,0.24
