year,pos,neu,neg
1950,0.16666666666666666,0.6666666666666666,0.16666666666666666
1951,0.2222222222222222,0.7777777777777778,0.0
1952,0.25,0.75,0.0
1953,0.0,0.5,0.5
1954,0.0,1.0,0.0
1955,0.25,0.6666666666666666,0.08333333333333333
1956,0.2,0.8,0.0
1957,0.25,0.75,0.0
1958,0.0,1.0,0.0
1959,0.0,1.0,0.0
1960,0.14285714285714285,0.7142857142857143,0.14285714285714285
1961,0.0,1.0,0.0
1962,0.14285714285714285,0.8571428571428571,0.0
1963,0.0,0.75,0.25
1964,0.07692307692307693,0.7692307692307693,0.15384615384615385
1965,0.0,1.0,0.0
1966,0.0,1.0,0.0
1967,0.1111111111111111,0.6666666666666666,0.2222222222222222
1968,0.0,0.75,0.25
1969,0.2222222222222222,0.6666666666666666,0.1111111111111111
1970,0.5555555555555556,0.4444444444444444,0.0
1971,0.0,1.0,0.0
1972,0.35714285714285715,0.5714285714285714,0.07142857142857142
1973,0.3333333333333333,0.6666666666666666,0.0
1974,0.0,0.7368421052631579,0.2631578947368421
1975,0.0,0.625,0.375
1976,0.4,0.6,0.0
1977,0.18181818181818182,0.5454545454545454,0.2727272727272727
1978,0.1111111111111111,0.6111111111111112,0.2777777777777778
1979,0.09090909090909091,0.7272727272727273,0.18181818181818182
1980,0.0,1.0,0.0
1981,0.2727272727272727,0.6363636363636364,0.09090909090909091
1982,0.3333333333333333,0.6666666666666666,0.0
1983,0.2,0.6,0.2
1984,0.2,0.8,0.0
1985,0.2727272727272727,0.6363636363636364,0.09090909090909091
1986,0.2222222222222222,0.6666666666666666,0.1111111111111111
1987,0.125,0.5,0.375
1988,0.0,0.8,0.2
1989,0.2,0.7,0.1
1990,0.0,1.0,0.0
1991,0.26666666666666666,0.6,0.13333333333333333
1992,0.16666666666666666,0.6666666666666666,0.16666666666666666
1993,0.07692307692307693,0.7692307692307693,0.15384615384615385
1994,0.06666666666666667,0.8,0.13333333333333333
1995,0.07142857142857142,0.6428571428571429,0.2857142857142857
1996,0.1875,0.75,0.0625
1997,0.0,0.75,0.25
1998,0.08,0.8,0.12
1999,0.10526315789473684,0.6842105263157895,0.21052631578947367
2000,0.2413793103448276,0.6896551724137931,0.06896551724137931
2001,0.26666666666666666,0.6,0.13333333333333333
2002,0.14285714285714285,0.75,0.10714285714285714
2003,0.2,0.7142857142857143,0.08571428571428572
2004,0.125,0.625,0.25
2005,0.027777777777777776,0.8888888888888888,0.08333333333333333
2006,0.044444444444444446,0.6888888888888889,0.26666666666666666
2007,0.11904761904761904,0.7619047619047619,0.11904761904761904
2008,0.0967741935483871,0.8064516129032258,0.0967741935483871
2009,0.06382978723404255,0.8085106382978723,0.1276595744680851
2010,0.17857142857142858,0.6666666666666666,0.15476190476190477
2011,0.11764705882352941,0.8,0.08235294117647059
2012,0.18518518518518517,0.6790123456790124,0.13580246913580246
2013,0.19753086419753085,0.7037037037037037,0.09876543209876543
2014,0.1875,0.703125,0.109375
2015,0.1724137931034483,0.632183908045977,0.19540229885057472
2016,0.16470588235294117,0.6,0.23529411764705882
2017,0.15384615384615385,0.6153846153846154,0.23076923076923078
