year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.25,0.75,0.0
1952,0.0,0.875,0.125
1953,0.0,0.6666666666666666,0.3333333333333333
1954,0.07142857142857142,0.6428571428571429,0.2857142857142857
1955,0.5,0.5,0.0
1956,0.38461538461538464,0.6153846153846154,0.0
1957,0.36363636363636365,0.6363636363636364,0.0
1958,0.3,0.7,0.0
1959,0.2222222222222222,0.7777777777777778,0.0
1960,0.125,0.6875,0.1875
1961,0.0,0.0,0.0
1962,0.2,0.5333333333333333,0.26666666666666666
1963,0.0,1.0,0.0
1964,0.14285714285714285,0.7857142857142857,0.07142857142857142
1965,0.09090909090909091,0.7272727272727273,0.18181818181818182
1966,0.0,1.0,0.0
1967,0.3125,0.59375,0.09375
1968,0.2,0.8,0.0
1969,0.5714285714285714,0.2857142857142857,0.14285714285714285
1970,0.2,0.8,0.0
1971,0.16666666666666666,0.7777777777777778,0.05555555555555555
1972,0.0,1.0,0.0
1973,0.2857142857142857,0.7142857142857143,0.0
1974,0.2857142857142857,0.7142857142857143,0.0
1975,0.14285714285714285,0.7142857142857143,0.14285714285714285
1976,0.15384615384615385,0.6923076923076923,0.15384615384615385
1977,0.125,0.625,0.25
1978,0.1875,0.6875,0.125
1979,0.11764705882352941,0.8235294117647058,0.058823529411764705
1980,0.2,0.8,0.0
1981,0.29411764705882354,0.7058823529411765,0.0
1982,0.2,0.8,0.0
1983,0.15,0.725,0.125
1984,0.2222222222222222,0.6666666666666666,0.1111111111111111
1985,0.11538461538461539,0.8076923076923077,0.07692307692307693
1986,0.37037037037037035,0.5555555555555556,0.07407407407407407
1987,0.3392857142857143,0.6607142857142857,0.0
1988,0.0,1.0,0.0
1989,0.29411764705882354,0.6470588235294118,0.058823529411764705
1990,0.28,0.64,0.08
1991,0.17857142857142858,0.75,0.07142857142857142
1992,0.3157894736842105,0.6842105263157895,0.0
1993,0.21951219512195122,0.7317073170731707,0.04878048780487805
1994,0.23404255319148937,0.723404255319149,0.0425531914893617
1995,0.19047619047619047,0.8095238095238095,0.0
1996,0.2916666666666667,0.6875,0.020833333333333332
1997,0.1935483870967742,0.7419354838709677,0.06451612903225806
1998,0.16071428571428573,0.8035714285714286,0.03571428571428571
1999,0.22058823529411764,0.7205882352941176,0.058823529411764705
2000,0.20634920634920634,0.7301587301587301,0.06349206349206349
2001,0.15,0.7166666666666667,0.13333333333333333
2002,0.2127659574468085,0.6808510638297872,0.10638297872340426
2003,0.2753623188405797,0.6231884057971014,0.10144927536231885
2004,0.2037037037037037,0.75,0.046296296296296294
2005,0.14705882352941177,0.8014705882352942,0.051470588235294115
2006,0.21311475409836064,0.6967213114754098,0.09016393442622951
2007,0.232,0.736,0.032
2008,0.08875739644970414,0.8698224852071006,0.04142011834319527
2009,0.23125,0.68125,0.0875
2010,0.2206896551724138,0.7448275862068966,0.034482758620689655
2011,0.17727272727272728,0.7636363636363637,0.05909090909090909
2012,0.2149122807017544,0.6798245614035088,0.10526315789473684
2013,0.18407960199004975,0.7562189054726368,0.05970149253731343
2014,0.1951219512195122,0.7439024390243902,0.06097560975609756
2015,0.21693121693121692,0.7354497354497355,0.047619047619047616
2016,0.18357487922705315,0.748792270531401,0.06763285024154589
2017,0.23469387755102042,0.7244897959183674,0.04081632653061224
