year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,1.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,1.0,0.0
1961,0.0,1.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.5,0.0,0.5
1966,1.0,0.0,0.0
1967,0.0,0.0,0.0
1968,0.0,1.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1971,0.0,1.0,0.0
1972,0.0,1.0,0.0
1973,0.0,0.0,0.0
1974,0.0,0.0,0.0
1975,0.0,0.0,0.0
1976,0.0,0.0,0.0
1977,0.0,0.0,0.0
1978,0.0,0.5,0.5
1979,0.0,0.0,0.0
1980,0.0,1.0,0.0
1981,0.0,1.0,0.0
1982,0.0,1.0,0.0
1983,0.0,1.0,0.0
1984,0.0,0.0,0.0
1985,0.0,0.0,0.0
1986,0.3333333333333333,0.6666666666666666,0.0
1987,0.0,1.0,0.0
1988,0.0,1.0,0.0
1989,0.16666666666666666,0.6666666666666666,0.16666666666666666
1990,0.0,1.0,0.0
1991,0.14285714285714285,0.5714285714285714,0.2857142857142857
1992,0.0,1.0,0.0
1993,0.0,1.0,0.0
1994,0.0,0.5,0.5
1995,0.0,1.0,0.0
1996,0.2,0.2,0.6
1997,0.0,0.75,0.25
1998,0.0,1.0,0.0
1999,0.25,0.75,0.0
2000,0.0,1.0,0.0
2001,0.0,1.0,0.0
2002,0.3333333333333333,0.6666666666666666,0.0
2003,0.0,1.0,0.0
2004,0.5,0.5,0.0
2005,0.0,0.6666666666666666,0.3333333333333333
2006,0.25,0.5,0.25
2007,0.0,0.5,0.5
2008,0.3,0.6,0.1
2009,0.13333333333333333,0.8,0.06666666666666667
2010,0.0,1.0,0.0
2011,0.14285714285714285,0.8571428571428571,0.0
2012,0.2,0.6,0.2
2013,0.11764705882352941,0.8235294117647058,0.058823529411764705
2014,0.0,0.9534883720930233,0.046511627906976744
2015,0.125,0.625,0.25
2016,0.0,0.8571428571428571,0.14285714285714285
2017,0.15384615384615385,0.8461538461538461,0.0
