year,pos,neu,neg
1950,1.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.5,0.5,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,1.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,1.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.25,0.25,0.5
1962,0.5,0.5,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,0.75,0.25
1967,0.0,0.25,0.75
1968,0.0,1.0,0.0
1969,0.5,0.5,0.0
1970,0.2,0.8,0.0
1971,0.0,0.8333333333333334,0.16666666666666666
1972,0.0,1.0,0.0
1973,0.0,1.0,0.0
1974,0.0,0.0,0.0
1975,0.0,1.0,0.0
1976,0.3333333333333333,0.6666666666666666,0.0
1977,0.3333333333333333,0.6666666666666666,0.0
1978,0.0,1.0,0.0
1979,0.0,0.0,0.0
1980,0.0,1.0,0.0
1981,0.0,1.0,0.0
1982,0.25,0.5,0.25
1983,0.0,1.0,0.0
1984,0.4444444444444444,0.3333333333333333,0.2222222222222222
1985,0.5,0.5,0.0
1986,0.0,1.0,0.0
1987,0.5,0.5,0.0
1988,0.3333333333333333,0.6666666666666666,0.0
1989,0.0,1.0,0.0
1990,0.25,0.625,0.125
1991,1.0,0.0,0.0
1992,0.5,0.25,0.25
1993,0.5,0.5,0.0
1994,0.3333333333333333,0.6666666666666666,0.0
1995,0.0,1.0,0.0
1996,0.0,1.0,0.0
1997,0.0,1.0,0.0
1998,0.058823529411764705,0.7058823529411765,0.23529411764705882
1999,0.0625,0.9375,0.0
2000,0.0,1.0,0.0
2001,0.42857142857142855,0.42857142857142855,0.14285714285714285
2002,0.18181818181818182,0.45454545454545453,0.36363636363636365
2003,0.0,1.0,0.0
2004,0.18181818181818182,0.8181818181818182,0.0
2005,0.0,0.5833333333333334,0.4166666666666667
2006,0.08333333333333333,0.8333333333333334,0.08333333333333333
2007,0.07407407407407407,0.8148148148148148,0.1111111111111111
2008,0.13333333333333333,0.6666666666666666,0.2
2009,0.14285714285714285,0.7857142857142857,0.07142857142857142
2010,0.041666666666666664,0.7083333333333334,0.25
2011,0.2,0.6,0.2
2012,0.0625,0.8125,0.125
2013,0.08,0.92,0.0
2014,0.13793103448275862,0.6551724137931034,0.20689655172413793
2015,0.13043478260869565,0.782608695652174,0.08695652173913043
2016,0.16,0.78,0.06
2017,0.3076923076923077,0.38461538461538464,0.3076923076923077
