year,pos,neu,neg
1950,0.22413793103448276,0.7241379310344828,0.05172413793103448
1951,0.10714285714285714,0.8928571428571429,0.0
1952,0.2,0.72,0.08
1953,0.22857142857142856,0.7714285714285715,0.0
1954,0.15151515151515152,0.7272727272727273,0.12121212121212122
1955,0.04878048780487805,0.8292682926829268,0.12195121951219512
1956,0.2857142857142857,0.6530612244897959,0.061224489795918366
1957,0.1,0.7333333333333333,0.16666666666666666
1958,0.08888888888888889,0.8888888888888888,0.022222222222222223
1959,0.1282051282051282,0.8461538461538461,0.02564102564102564
1960,0.21212121212121213,0.7272727272727273,0.06060606060606061
1961,0.2,0.6666666666666666,0.13333333333333333
1962,0.15384615384615385,0.8076923076923077,0.038461538461538464
1963,0.1891891891891892,0.7297297297297297,0.08108108108108109
1964,0.11627906976744186,0.7441860465116279,0.13953488372093023
1965,0.10526315789473684,0.7631578947368421,0.13157894736842105
1966,0.16666666666666666,0.8333333333333334,0.0
1967,0.10714285714285714,0.8392857142857143,0.05357142857142857
1968,0.23255813953488372,0.6976744186046512,0.06976744186046512
1969,0.16666666666666666,0.7083333333333334,0.125
1970,0.22448979591836735,0.673469387755102,0.10204081632653061
1971,0.25,0.575,0.175
1972,0.043478260869565216,0.8260869565217391,0.13043478260869565
1973,0.13157894736842105,0.868421052631579,0.0
1974,0.10204081632653061,0.8775510204081632,0.02040816326530612
1975,0.14634146341463414,0.8170731707317073,0.036585365853658534
1976,0.19298245614035087,0.7017543859649122,0.10526315789473684
1977,0.1794871794871795,0.7692307692307693,0.05128205128205128
1978,0.14772727272727273,0.7727272727272727,0.07954545454545454
1979,0.125,0.8333333333333334,0.041666666666666664
1980,0.11904761904761904,0.7857142857142857,0.09523809523809523
1981,0.1875,0.6979166666666666,0.11458333333333333
1982,0.18181818181818182,0.7636363636363637,0.05454545454545454
1983,0.15584415584415584,0.7922077922077922,0.05194805194805195
1984,0.22972972972972974,0.6756756756756757,0.0945945945945946
1985,0.09375,0.75,0.15625
1986,0.12903225806451613,0.8387096774193549,0.03225806451612903
1987,0.18181818181818182,0.7575757575757576,0.06060606060606061
1988,0.17857142857142858,0.6607142857142857,0.16071428571428573
1989,0.1267605633802817,0.8169014084507042,0.056338028169014086
1990,0.125,0.796875,0.078125
1991,0.21978021978021978,0.6703296703296703,0.10989010989010989
1992,0.11940298507462686,0.835820895522388,0.04477611940298507
1993,0.1511627906976744,0.7790697674418605,0.06976744186046512
1994,0.17391304347826086,0.7391304347826086,0.08695652173913043
1995,0.15492957746478872,0.7183098591549296,0.1267605633802817
1996,0.13131313131313133,0.7676767676767676,0.10101010101010101
1997,0.20192307692307693,0.75,0.04807692307692308
1998,0.2719298245614035,0.6403508771929824,0.08771929824561403
1999,0.16842105263157894,0.6526315789473685,0.17894736842105263
2000,0.15862068965517243,0.7517241379310344,0.0896551724137931
2001,0.15151515151515152,0.7575757575757576,0.09090909090909091
2002,0.2,0.7151515151515152,0.08484848484848485
2003,0.1793478260869565,0.6902173913043478,0.13043478260869565
2004,0.2,0.6896551724137931,0.1103448275862069
2005,0.18571428571428572,0.7285714285714285,0.08571428571428572
2006,0.14096916299559473,0.762114537444934,0.09691629955947137
2007,0.11,0.815,0.075
2008,0.14224137931034483,0.7413793103448276,0.11637931034482758
2009,0.17586206896551723,0.7344827586206897,0.0896551724137931
2010,0.1794871794871795,0.7289377289377289,0.09157509157509157
2011,0.1534526854219949,0.7621483375959079,0.08439897698209718
2012,0.19703389830508475,0.7139830508474576,0.08898305084745763
2013,0.12465373961218837,0.7534626038781164,0.12188365650969529
2014,0.18125,0.6875,0.13125
2015,0.1962962962962963,0.7111111111111111,0.09259259259259259
2016,0.15112540192926044,0.7459807073954984,0.10289389067524116
2017,0.10526315789473684,0.8045112781954887,0.09022556390977443
