year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,1.0,0.0
1952,0.0,1.0,0.0
1953,0.0,1.0,0.0
1954,1.0,0.0,0.0
1955,0.0,1.0,0.0
1956,0.0,1.0,0.0
1957,0.0,1.0,0.0
1958,0.0,0.5,0.5
1959,0.0,1.0,0.0
1960,0.0,1.0,0.0
1961,0.0,1.0,0.0
1962,0.0,0.75,0.25
1963,0.0,1.0,0.0
1964,0.0,0.0,0.0
1965,0.0,0.6363636363636364,0.36363636363636365
1966,0.2,0.8,0.0
1967,0.1111111111111111,0.8333333333333334,0.05555555555555555
1968,0.14285714285714285,0.7142857142857143,0.14285714285714285
1969,0.058823529411764705,0.6470588235294118,0.29411764705882354
1970,0.25,0.5,0.25
1971,0.2,0.8,0.0
1972,0.3333333333333333,0.6666666666666666,0.0
1973,0.0,1.0,0.0
1974,0.3333333333333333,0.5,0.16666666666666666
1975,0.2,0.8,0.0
1976,0.14285714285714285,0.7142857142857143,0.14285714285714285
1977,0.0,1.0,0.0
1978,0.21428571428571427,0.7857142857142857,0.0
1979,0.0,1.0,0.0
1980,0.125,0.875,0.0
1981,0.4,0.6,0.0
1982,0.3333333333333333,0.6666666666666666,0.0
1983,0.0,1.0,0.0
1984,0.0,1.0,0.0
1985,0.07142857142857142,0.8571428571428571,0.07142857142857142
1986,0.2777777777777778,0.7222222222222222,0.0
1987,0.2222222222222222,0.7777777777777778,0.0
1988,0.10526315789473684,0.8947368421052632,0.0
1989,0.09090909090909091,0.8636363636363636,0.045454545454545456
1990,0.0,0.75,0.25
1991,0.2857142857142857,0.7142857142857143,0.0
1992,0.043478260869565216,0.8695652173913043,0.08695652173913043
1993,0.05555555555555555,0.8888888888888888,0.05555555555555555
1994,0.1875,0.6875,0.125
1995,0.09090909090909091,0.9090909090909091,0.0
1996,0.13043478260869565,0.782608695652174,0.08695652173913043
1997,0.0,1.0,0.0
1998,0.07142857142857142,0.8571428571428571,0.07142857142857142
1999,0.35,0.6,0.05
2000,0.15384615384615385,0.7307692307692307,0.11538461538461539
2001,0.05555555555555555,0.8333333333333334,0.1111111111111111
2002,0.0,0.8148148148148148,0.18518518518518517
2003,0.06818181818181818,0.75,0.18181818181818182
2004,0.125,0.7291666666666666,0.14583333333333334
2005,0.13953488372093023,0.813953488372093,0.046511627906976744
2006,0.17857142857142858,0.7857142857142857,0.03571428571428571
2007,0.08928571428571429,0.7678571428571429,0.14285714285714285
2008,0.2222222222222222,0.75,0.027777777777777776
2009,0.08064516129032258,0.8387096774193549,0.08064516129032258
2010,0.09876543209876543,0.7407407407407407,0.16049382716049382
2011,0.07692307692307693,0.8923076923076924,0.03076923076923077
2012,0.1388888888888889,0.8333333333333334,0.027777777777777776
2013,0.125,0.7916666666666666,0.08333333333333333
2014,0.10344827586206896,0.8448275862068966,0.05172413793103448
2015,0.12280701754385964,0.7368421052631579,0.14035087719298245
2016,0.09183673469387756,0.8469387755102041,0.061224489795918366
2017,0.09090909090909091,0.8181818181818182,0.09090909090909091
