year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,0.0,0.0
1967,0.0,0.0,0.0
1968,0.0,0.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1971,0.0,0.0,0.0
1972,0.0,0.0,0.0
1973,0.0,0.0,0.0
1974,0.0,0.0,0.0
1975,0.0,0.0,0.0
1976,0.0,0.0,0.0
1977,0.0,0.0,0.0
1978,0.0,0.0,0.0
1979,0.0,0.0,0.0
1980,0.0,0.0,0.0
1981,0.0,0.0,0.0
1982,0.0,0.0,0.0
1983,0.0,0.0,0.0
1984,0.0,0.0,0.0
1985,0.0,0.0,0.0
1986,0.0,0.0,0.0
1987,0.0,0.0,0.0
1988,0.0,1.0,0.0
1989,0.0,0.0,0.0
1990,0.0,0.0,0.0
1991,0.0,0.0,0.0
1992,0.3333333333333333,0.6666666666666666,0.0
1993,0.0,0.0,0.0
1994,0.0,0.0,0.0
1995,0.0,0.0,0.0
1996,0.0,0.0,0.0
1997,0.0,0.0,0.0
1998,0.0,0.0,0.0
1999,0.0,1.0,0.0
2000,0.0,1.0,0.0
2001,0.11764705882352941,0.8235294117647058,0.058823529411764705
2002,0.0,1.0,0.0
2003,0.15384615384615385,0.8461538461538461,0.0
2004,0.14285714285714285,0.7142857142857143,0.14285714285714285
2005,0.21428571428571427,0.7857142857142857,0.0
2006,0.15384615384615385,0.7692307692307693,0.07692307692307693
2007,0.23076923076923078,0.6153846153846154,0.15384615384615385
2008,0.2,0.8,0.0
2009,0.0,0.9230769230769231,0.07692307692307693
2010,0.21153846153846154,0.7692307692307693,0.019230769230769232
2011,0.10638297872340426,0.7872340425531915,0.10638297872340426
2012,0.18421052631578946,0.7368421052631579,0.07894736842105263
2013,0.1702127659574468,0.8085106382978723,0.02127659574468085
2014,0.14285714285714285,0.7142857142857143,0.14285714285714285
2015,0.17391304347826086,0.7101449275362319,0.11594202898550725
2016,0.10526315789473684,0.8245614035087719,0.07017543859649122
2017,0.13333333333333333,0.8,0.06666666666666667
