year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,1.0
1952,0.0,1.0,0.0
1953,0.0,0.0,0.0
1954,0.0,1.0,0.0
1955,0.0,1.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,1.0,0.0
1959,0.4,0.6,0.0
1960,0.0,1.0,0.0
1961,0.0,1.0,0.0
1962,0.0,1.0,0.0
1963,0.125,0.75,0.125
1964,0.0,1.0,0.0
1965,0.3333333333333333,0.6666666666666666,0.0
1966,0.08333333333333333,0.8333333333333334,0.08333333333333333
1967,0.0,0.0,1.0
1968,0.0,0.6666666666666666,0.3333333333333333
1969,0.0,1.0,0.0
1970,0.5,0.0,0.5
1971,0.0,0.0,0.0
1972,0.16666666666666666,0.8333333333333334,0.0
1973,1.0,0.0,0.0
1974,0.0,1.0,0.0
1975,0.0,1.0,0.0
1976,0.0,0.75,0.25
1977,0.0,1.0,0.0
1978,0.0,0.5,0.5
1979,0.0,1.0,0.0
1980,0.5,0.5,0.0
1981,0.0,0.6666666666666666,0.3333333333333333
1982,0.0,1.0,0.0
1983,0.1111111111111111,0.6666666666666666,0.2222222222222222
1984,0.0,0.0,0.0
1985,0.3333333333333333,0.6666666666666666,0.0
1986,0.0,0.0,0.0
1987,0.0,0.8,0.2
1988,0.0,0.75,0.25
1989,0.0,0.0,0.0
1990,0.125,0.75,0.125
1991,0.0,0.0,0.0
1992,0.0,0.6666666666666666,0.3333333333333333
1993,0.0,1.0,0.0
1994,0.0,0.0,0.0
1995,0.0,0.0,0.0
1996,0.0,0.0,0.0
1997,0.0,1.0,0.0
1998,0.0,0.0,1.0
1999,0.0,1.0,0.0
2000,0.25,0.5,0.25
2001,0.0,1.0,0.0
2002,0.3333333333333333,0.6666666666666666,0.0
2003,0.3333333333333333,0.6666666666666666,0.0
2004,0.5,0.25,0.25
2005,0.25,0.75,0.0
2006,0.0,0.0,1.0
2007,0.0,0.5,0.5
2008,0.5,0.5,0.0
2009,0.0,0.6666666666666666,0.3333333333333333
2010,0.0,1.0,0.0
2011,0.0,0.625,0.375
2012,0.18181818181818182,0.45454545454545453,0.36363636363636365
2013,0.0,1.0,0.0
2014,0.14285714285714285,0.7142857142857143,0.14285714285714285
2015,0.0,1.0,0.0
2016,0.09090909090909091,0.9090909090909091,0.0
2017,0.25,0.0,0.75
