year,pos,neu,neg
1950,0.5,0.5,0.0
1951,0.0,1.0,0.0
1952,0.2,0.6,0.2
1953,0.3333333333333333,0.6666666666666666,0.0
1954,0.3333333333333333,0.6666666666666666,0.0
1955,0.0,1.0,0.0
1956,0.0,1.0,0.0
1957,0.25,0.75,0.0
1958,0.5,0.5,0.0
1959,0.2,0.8,0.0
1960,0.2,0.8,0.0
1961,0.0,1.0,0.0
1962,0.2857142857142857,0.5714285714285714,0.14285714285714285
1963,0.14285714285714285,0.8571428571428571,0.0
1964,0.0,0.0,0.0
1965,0.3333333333333333,0.6666666666666666,0.0
1966,0.0,1.0,0.0
1967,0.14285714285714285,0.7142857142857143,0.14285714285714285
1968,0.0,1.0,0.0
1969,0.3333333333333333,0.5555555555555556,0.1111111111111111
1970,0.3333333333333333,0.6666666666666666,0.0
1971,0.3333333333333333,0.6666666666666666,0.0
1972,0.3333333333333333,0.5,0.16666666666666666
1973,0.2,0.8,0.0
1974,0.4,0.6,0.0
1975,0.3333333333333333,0.6,0.06666666666666667
1976,0.125,0.75,0.125
1977,0.5,0.0,0.5
1978,0.14285714285714285,0.8571428571428571,0.0
1979,0.5,0.5,0.0
1980,0.3333333333333333,0.5,0.16666666666666666
1981,0.5714285714285714,0.2857142857142857,0.14285714285714285
1982,0.2,0.7,0.1
1983,0.0,0.6,0.4
1984,0.5,0.5,0.0
1985,0.0,0.8333333333333334,0.16666666666666666
1986,0.07142857142857142,0.8571428571428571,0.07142857142857142
1987,0.16666666666666666,0.8333333333333334,0.0
1988,0.25,0.75,0.0
1989,0.0,0.75,0.25
1990,0.5,0.25,0.25
1991,0.0,0.6666666666666666,0.3333333333333333
1992,0.2,0.75,0.05
1993,0.3,0.5,0.2
1994,1.0,0.0,0.0
1995,0.36363636363636365,0.6363636363636364,0.0
1996,0.0,0.9333333333333333,0.06666666666666667
1997,0.125,0.8125,0.0625
1998,0.45454545454545453,0.5454545454545454,0.0
1999,0.16666666666666666,0.75,0.08333333333333333
2000,0.5714285714285714,0.42857142857142855,0.0
2001,0.2,0.7,0.1
2002,0.08333333333333333,0.7916666666666666,0.125
2003,0.5454545454545454,0.45454545454545453,0.0
2004,0.37037037037037035,0.5555555555555556,0.07407407407407407
2005,0.1111111111111111,0.7777777777777778,0.1111111111111111
2006,0.2692307692307692,0.6923076923076923,0.038461538461538464
2007,0.3333333333333333,0.6666666666666666,0.0
2008,0.23076923076923078,0.5769230769230769,0.19230769230769232
2009,0.40540540540540543,0.5405405405405406,0.05405405405405406
2010,0.23529411764705882,0.7352941176470589,0.029411764705882353
2011,0.08,0.86,0.06
2012,0.21052631578947367,0.7368421052631579,0.05263157894736842
2013,0.3620689655172414,0.5689655172413793,0.06896551724137931
2014,0.4666666666666667,0.4888888888888889,0.044444444444444446
2015,0.275,0.7,0.025
2016,0.0,0.8181818181818182,0.18181818181818182
2017,0.14285714285714285,0.8095238095238095,0.047619047619047616
